Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Affiliate,Coordination,Last update,On-air,Features,Coverage,AllStar,D-STAR Enabled,Node,Sources,EchoLink,IRLP,Links,Commands,Nets,Web links,Notes,DMR Enabled,Color Code,Wide Network,Grid,Location Photo,Talkgroups,Colorado,Southern Colorado,Talkgroup Network,Denver Regional,Northern Colorado,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Feed,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Local/Cluster,Mountain Reg USA,YSF Digital Enabled,DG-ID,WIRES-X,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local,Wyoming,WyLOCAL,Worldwide English,N. Colorado
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,0,W,,449,444,,107.2,Mesa,On-Air,KB0SW,Grand Mesa Repeater Assoc,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,0,ESE,,147.39,147.99,107.2,,Mesa,,KE0TY,,CCARC,,Unknown,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,0,WSW,,447.5,442.5,114.8,,Mesa,,KC0ARV,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,0,W,,147.105,147.705,,,Mesa,On-Air,K0SSI,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,Grand Junction,CO,OPEN,A,0,ESE,,146.82,146.22,107.2,,Mesa,On-Air,,,CCARC,,,,Wide area: North Western Colorado - South to Montrose and East on I-70.,28515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,0,W,,446.775,441.775,,,Mesa,On-Air,,,,,,,,,,KD0RED (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,0,W,,449.775,444.775,173.8,88.5,Mesa,On-Air,,,CCARC,,,,,,,,,7572,7573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,0,W,,145.22,144.62,107.2,,Mesa,,KE0TY,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,1.1,SW,,147.355,146.755,88.5,123,Mesa,On-Air,Colorado Connection,,CCARC,,,,,,,,,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,4,NNE,,145.175,144.575,107.2,,Mesa,On-Air,,,CCARC,,,"E-power,",Greater grand Junction area.,,,,,,3161,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,10.6,W,,146.94,146.34,107.2,107.2,Mesa,On-Air,Western Colorado Amateur Radio Club,,CCARC,,,E-power and autopatch for WCARC members,Grand Junction 30-50 mi,,,,,,,,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,http://w0rrz.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,10.6,W,,449.575,444.575,131.8,131.8,Mesa,On-Air,,Grand Mesa Repeater Assoc,CCARC,,,e-power. Linked to GMRA Open System,Grand Junction,,,,,,3710,,,Wed RACES Net 1930 Hrs,GMRA Repeaters,Closed IRLP out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,11.8,SSE,,448.15,443.15,100,,Mesa,On-Air,,,CCARC,,,,,,,,,312189,7963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,15.9,ESE,,449.3,444.3,107.2,107.2,Mesa,On-Air,,,CCARC,,,e-power Linked to GMRA Open System,Wide Area I-70 West Rifle to Western Utah,,,,,,3710,,,RACES Wed 1930 hrs,http://www.gmra.org/,Closed IRLP out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC1,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,17.4,ESE,,446.9125,441.9125,,,Mesa,On-Air,Bill Frost,,,,,,"Grand Junction, I70",,,,,,,,,,,Brandmeister network,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
