Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Coordination,Last update,Downlink Tone,Web links,Commands,On-air,Grid,Links,YSF Digital Enabled,DG-ID,Mixed-Mode,Nets,Notes,Affiliate,DMR Enabled,Color Code,Wide Network,EchoLink,IRLP,AllStar,Local Network,Talkgroups,Worldwide English,North America,Simplex,TAC 310,TAC 311,DCI Bridge,Echo Test,Hytera USA Reflector,MPRG 2,NW7RG-USA,USA - Area 7 4647,Local/Cluster,Montana,MPRG,D-STAR Enabled,Node,Sources,BGV,Parrot,WIRES-X,Talkgroup Network,Idaho,Bandwidth,P25 Digital Enabled,NAC,Default Reflector,Feed
146.68,-0.6,100,KC7MGR,Grangeville,ID,OPEN,,33.7,WNW,,146.68,146.08,100,Idaho,On-Air,,Camas Prairie ARC,Autopatch.,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.62,-0.6,88.5,KK3ARC,Kooskia,ID,OPEN,,34.9,NW,,146.62,146.02,88.5,Idaho,On-Air,,3,E-power (solar).,IACC,,100,http://3riversarc.webs.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.925,5,100,,"Kamiah, KOA Campground",ID,OPEN,,38.1,NW,,443.925,448.925,100,Idaho,On-Air,Kamiah area only,John T. Biggs Sr.,,,,100,,Auto patch 6789 for dial tone 9876 to hang up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,,,Cottonwood,ID,OPEN,,46.4,WNW,,444.4,449.4,,Idaho,,,,,UVHFS,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,,,Cottonwood,ID,OPEN,,46.4,WNW,,447.4,442.4,,Idaho,,,,,UVHFS,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.84,-0.6,100,KB7VOL,"Cottonwood, Cottonwood Butte",ID,OPEN,,52.1,WNW,,146.84,146.24,100,Idaho,Off-Air,,CPARC,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.95,5,100,K7EI,"Cottonwood, Cottonwood Butte",ID,CLOSED,,52.1,WNW,,444.95,449.95,100,Idaho,,,,,UVHFS,,,,,Unknown,DN16sb,Full-time to the  K7EI System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.27,-0.6,100,KD7ALJ,Orofino,ID,OPEN,,59.7,NW,,145.27,144.67,100,Clearwater,,,,,UVHFS,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.875,5,100,K7EI,Orofino,ID,OPEN,,59.7,NW,,444.875,449.875,100,Clearwater,On-Air,,,,UVHFS,,,,,,,Full-time to the  K7EI System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,,KC7VBT,Orofino,ID,OPEN,,59.7,NW,,145.49,144.89,,Clearwater,On-Air,Orofino area,CVARC,Autopatch. Analog and Digital in / Analog out,UVHFS,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,Sunday @ 19:30 PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,131.8,K7NDX,"Orofino, Wells Bench",ID,OPEN,,60.3,NW,,146.76,146.16,131.8,Clearwater,On-Air,Orofino area,Clearwater Valley ARC,E-power.,UVHFS,,,,,,,,,,,Sun at 19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
