Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Last update,Downlink Tone,EchoLink,IRLP,Notes,Affiliate,Web links,Coordination,On-air,DMR Enabled,Color Code,Wide Network,Local Network,Talkgroups,Worldwide English,North America,TAC 310,TAC 311,DCI Bridge,Parrot,Hytera USA Reflector,MPRG 2,BGV,NW7RG-USA,USA - Area 7 4647,Local/Cluster,Montana,MPRG,Mixed-Mode,Links,Simplex,Echo Test,Nets,Commands,Grid,YSF Digital Enabled,DG-ID,AllStar,Bandwidth,WIRES-X,Talkgroup Network,Idaho,D-STAR Enabled,Node,Sources,P25 Digital Enabled,NAC,Default Reflector
146.98,-0.6,100,AA7WG,"Salmon, Baldy Summit",ID,OPEN,,35.7,SSE,,146.98,146.38,100,Lemhi,On-Air,,Lemhi Amateur Radio Club,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,100,AA7WG,"Salmon, Old Dump Hill above Salmon",ID,OPEN,EI,36.3,SSE,,147.03,147.63,100,Lemhi,On-Air,"Low level, covers most of Lemhi County",LDS ERC,,,100,439297,3601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.225,5.1,100,AA7WG,"Salmon, Baldy Mountain",ID,OPEN,,36.3,SSE,,442.225,447.275,100,Lemhi,On-Air,,LDS ERC,Remote Base linked to 146.88 Rexburg Menan Butte Repeater,,100,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.1,5,100,AA7WG,"Salmon, Baldy Mountain",ID,,,36.3,SSE,,442.1,447.1,100,Lemhi,On-Air,,,Linked to 146.98 Salmon and 146.78 Challis,,100,,,,Lemhi Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.72,-0.6,203.5,W7FTX,Hamilton,MT,OPEN,,43.9,N,,146.72,146.12,203.5,Ravalli,On-Air,,Bitterfoot ARC,5,,,,,,,https://www.facebook.com/W7FTX/info/?tab=page_info,MRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.75,-25,114.8,KD7HP,Stevensville,MT,OPEN,,62.4,N,,927.75,902.75,114.8,Ravalli,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.66,-0.6,88.5,KE7WR,Stevensville,MT,OPEN,,62.4,N,,146.66,146.06,88.5,Ravalli,On-Air,,KE7WWR,,,,,,,,,MRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,203.5,W7FTX,Stevensville,MT,OPEN,,63.4,NNE,,447.5,442.5,203.5,Ravalli,,,Bitterfoor A,4,,,,,,,http://www.members.tripod.com/w7ftx/Club%20RPTRS.htm,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.1,5,CC2 100.0,WR7HLN,"Dillon, Badger Pass",MT,OPEN,E,70.7,SE,,444.1,449.1,100,Beaverhead,On-Air,,Mac Pass Repeater Group,E-power (solar),,100,259336,,"Repeater is on Solar Powered 24 hours a day, so is emergency use at all times. Also uses Internet via Ubiquiti 5.8Ghz Path. All repeater are on the Mac Pass Repeater Group. 
7,520'.",Mac Pass repeater Group,www.wr7hln.org,MRCC,,,2,BrandMeister,BrandMeister US,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Sched    North America  1  93  PTT    TAC 310  1  310  PTT    TAC 311  1  311  PTT    DCI Bridge  1  3100  PTT    Parrot  1  9990  PTT    Hytera USA Reflector  1  31089  PTT    MPRG 2  1  31302  Full-Time    BGV  1  31303  Full-Time    NW7RG-USA  1  31304  PTT    USA - Area 7 4647  1  31607  PTT    Local/Cluster  2  2  Full-Time    Montana  2  3130  Full-Time    MPRG  2  31301  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,1,1,1,1,1,1,1,1,1,2,2,2,Yes; analog capable.,Full-time to the  Mac Pass Repeater Group System .,,,,,,,,,,,,,,,,,,
446.8,-5,,KA7NBR,Anaconda,MT,OPEN,,72.9,E,,446.8,441.8,,Deer Lodge,,,KA7NBR,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
