Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Nets,Coordination,Last update,YSF Digital Enabled,DG-ID,Mixed-Mode,Web links,Features,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Wyoming,WyLOCAL,Affiliate,Links,EchoLink,Colorado,Northern Colorado,Downlink Tone,Notes,On-air,D-STAR Enabled,Node,Sources,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,Commands,Worldwide,English,TAC 310,Mountain Reg USA,IRLP,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,P25 Digital Enabled,NAC,Default Reflector,AllStar,Southern Colorado,Denver Regional,Feed,Location Photo
146.82,-0.6,114.8,KC7SNO,"Laramie, Beacon Hill",WY,OPEN,,0,E,,146.82,146.22,114.8,Albany,On-Air,Wide area.,Shy-Wy Amateur Radio Club,Shy-WY ARC: Thu at 19:00.,WRCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,,N7UW,"Laramie, University",WY,OPEN,,0.5,E,,146.61,146.01,,Albany,On-Air,Laramie Valley  30 mi radius.,University ARC,,WRCG,,,Open ↑ / Open ↓,Yes; analog capable.,http://www.uwyo.edu/uarc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1,,K7UWR,"Laramie,  Pilot Hill",WY,OPEN,,7.1,ESE,,53.03,52.03,,Albany,Off-Air,I-80 from west of Laramie to east of Cheyenne for 25 watt mobiles with 1/4 wave antenna.,K7UWR,,,,,,,http://www.r-vcr.com/k7uwr/repeater.htm,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.225,-5,CC11,WY7EOC,"Laramie, Pilot Hill",WY,CLOSED,,8.8,SE,,447.225,442.225,,Albany,On-Air,Wide area.,Laramie County EM,,WRCG,,,,,,,,11,,Wyoming DMR Project,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Wyoming  1  3156  Full-Time    WyLOCAL  2  100  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Wyoming DMR Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,KB7SWR,Cheyenne,WY,OPEN,,22.1,SE,,448.15,443.15,100,Laramie,Off-Air,,KB7SWR,,WRCG,,,,,,,,,,,,,,,"Full-time to  
        145.23500 (KB7SWR) at Cheyenne, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,146.2,N7UW,"Laramie, Jelm Mountain",WY,OPEN,E,24.9,SW,,147.015,147.615,146.2,Albany,On-Air,Albany County,"Albany County ARES/RACES, University Amateur Radio",,,,,Open ↑ / Open ↓,Yes; analog capable.,http://www.uwyo.edu/uarc/,,,,,,,,,,,82070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9375,-5,CC7,K7PFJ,"Cheyenne, South",WY,OPEN,,40.9,SE,,449.9375,444.9375,,Laramie,On-Air,,,,WRCG,,,,,https://www.rmham.org/wordpress/,,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,Full-time to the  Rocky Mountain Ham System .,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,CC15 151.4,KC7DHF,"Cheyenne, Old airport control tower",WY,OPEN,,41.6,SE,,448.95,443.95,151.4,Laramie,On-Air,Local,,,WRCG,,,,,,,,15,,,,,,,,,,,151.4,Brandmiester and analog.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,100,N7JJY,Cheyenne,WY,OPEN,,41.8,SE,,449.9,444.9,100,Laramie,On-Air,From 5 miles to 25 miles,N7JJY,,,,,,,,,,,,,,,,,,,,,100,To be used as a portable repeater for ARES/RACES or as needed for specific needs of the Amateur Community in Laramie County or other areas as needed. Repeater will be on when needed otherwise offline.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,114.8,KC7SNO,"Cheyenne, North Park",WY,OPEN,,41.8,SE,,147.105,147.705,114.8,Laramie,On-Air,,,,WRCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,114.8,KB7SWR,Cheyenne,WY,OPEN,,41.8,SE,,145.235,144.635,114.8,Laramie,On-Air,Local: Cheyenne.,N7GT,,WRCG,,,,,,,,,,,,,,,"Full-time to  
        448.15000 (KB7SWR) at Cheyenne, WY .",,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,114.8,KC7SNO,"Cheyenne, Denver Hill",WY,OPEN,,42.2,SE,,146.775,146.175,114.8,Laramie,On-Air,,Shy-Wy Amateur Radio Club,"Weather Net: Daily at 06:45. 
Shy-WY ARC: Sun at 07:00.",WRCG,,,,,,"E-power, WX.",,,,,,,,,"Full-time to  
        147.16500 (KC7SNO) at Albin, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,,N7EMA,Cheyenne,WY,OPEN,,42.2,SE,,447.025,442.025,,Laramie,,,,,WRCG,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.84,-1.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,49.9,SSE,,224.84,223.24,100,Larimer,On-Air,"Wide Area: Northern CO Front Range and into Cheyenne - Laramie, WY",Northern Colorado ARC,,,,,,,,"E-power, 25 watts.",,,,,,,,,"Full-time to  
        447.70000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.625,-0.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,49.9,SSE,,146.625,146.025,100,Larimer,On-Air,Wide area: Northern front range.,Northern Colorado ARC,,CCARC,,,,,,E-power.,,,,,,,,,"Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Linkable to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,50.4,SSE,,447.7,442.7,100,Larimer,On-Air,Wide Area Coverage,Northern Colorado Amateur Radio Club,,,,,,,http://ncarc.net/,,,,,,,,,,"Linkable to  
        146.62500 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .
 


Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Full-time to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,51.8,SE,,448.325,443.325,110.9,Larimer,On-Air,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,94.8,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,53.3,SSE,,449.425,444.425,94.8,Larimer,On-Air,,,,,,,,,,,,,,,,,,,"Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,100,N7GCR,"Rawlins, Elk Mountain",WY,OPEN,,53.3,WNW,,147.24,147.84,100,Carbon,On-Air,Wide area.,CCARS,,WRCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25,D114,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,53.3,SSE,,927.875,902.875,D114,Larimer,Off-Air,,WA6IMI,,CCARC,,,,,,,,,,,,,,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,,Down due to lightning strike. Scheduled to return end of June 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,56.7,SSE,,449.85,444.85,100,Larimer,On-Air,Map,CO State Univ ARC,,CCARC,,,,,,Closed autopatch.,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,57,SSE,,446.8125,441.8125,,Larimer,On-Air,Fort Collins Local Area,W0QEY CSU,,CCARC,,,,,,D-Star Gateway,,,,,,,,,,,,,,Free Star,,,W0QEY (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
927.95,-25,100,K1TJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,57.1,SSE,,927.95,902.95,100,Larimer,On-Air,Northern Front Range,K1TJ Repeater System,,CCARC,,,,,,25,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,57.2,SSE,,224.52,222.92,100,Larimer,Off-Air,,Northern Colorado ARC,,CCARC,,,,,,E-power.,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.825,-25,100,AB0SF,"Fort Collins, Horsetooth Mountain",CO,OPEN,,57.2,SSE,,927.825,902.825,100,Larimer,On-Air,"Decent coverage throughout northern Fort Collins, out east to beyond Windsor.",AB0SF,,CCARC,,,,,,,,,,,,,,,,,,,100,Converted 800 MHz beam antenna pointed directly down Horsetooth Road in Fort Collins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,57.2,SSE,,145.115,144.515,100,Larimer,On-Air,Wide area.,Northern Colorado ARC,,CCARC,,,,,,7,,,,,,,,,,4236,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,57.2,SSE,,447.275,442.275,100,Larimer,On-Air,Wide area.,Northern Colorado ARC,,CCARC,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,131.8,WB7GR,"Cheyenne, Chalk Bluffs",WY,OPEN,E,57.4,SE,,449.3,444.3,131.8,Laramie,On-Air,,WU7G,,,,,,,,,,,,,,,,,,140284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC2,KB0VGD,"Fort Collins , Horsetooth Mountain",CO,OPEN,,57.6,SSE,,145.265,144.665,,Larimer,On-Air,Northern Colorado Front Range Wide Area coverage.,W0DMR - NoCo C-bridge Network,,CCARC,,,,,http://www.w0dmr.org/,,,2,,BrandMeister US,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,Brandmeister Network,,,2,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,,,,1,1,1,2,2,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,,,,,,,,,,
