Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsRxCode,DtcsPolarity,Mode,TStep,Comment
0,1 1464,146.4,,0,,88.5,88.5,23,23,NN,FM,5,
1,2 146415,146.415,,0,,88.5,88.5,23,23,NN,FM,5,
2,3 14643,146.43,,0,,88.5,88.5,23,23,NN,FM,5,
3,4 146445,146.445,,0,,88.5,88.5,23,23,NN,FM,5,
4,5 14646,146.46,,0,,88.5,88.5,23,23,NN,FM,5,
5,6 146475,146.475,,0,,88.5,88.5,23,23,NN,FM,5,
6,7 14649,146.49,,0,,88.5,88.5,23,23,NN,FM,5,
7,8 146505,146.505,,0,,88.5,88.5,23,23,NN,FM,5,
8,C 14652,146.52,,0,,88.5,88.5,23,23,NN,FM,5,
9,10 146535,146.535,,0,,88.5,88.5,23,23,NN,FM,5,
10,11 14655,146.55,,0,,88.5,88.5,23,23,NN,FM,5,
11,12 146565,146.565,,0,,88.5,88.5,23,23,NN,FM,5,
12,13 14658,146.58,,0,,88.5,88.5,23,23,NN,FM,5,
13,14 146595,146.595,,0,,88.5,88.5,23,23,NN,FM,5,
14,15 14742,147.42,,0,,88.5,88.5,23,23,NN,FM,5,
15,16 147435,147.435,,0,,88.5,88.5,23,23,NN,FM,5,
16,17 14745,147.45,,0,,88.5,88.5,23,23,NN,FM,5,
17,18 147465,147.465,,0,,88.5,88.5,23,23,NN,FM,5,
18,19 14748,147.48,,0,,88.5,88.5,23,23,NN,FM,5,
19,20 147495,147.495,,0,,88.5,88.5,23,23,NN,FM,5,
20,21 14751,147.51,,0,,88.5,88.5,23,23,NN,FM,5,
21,22 147525,147.525,,0,,88.5,88.5,23,23,NN,FM,5,
22,23 14754,147.54,,0,,88.5,88.5,23,23,NN,FM,5,
23,24 147555,147.555,,0,,88.5,88.5,23,23,NN,FM,5,
24,25 14757,147.57,,0,,88.5,88.5,23,23,NN,FM,5,
25,26 147585,147.585,,0,,88.5,88.5,23,23,NN,FM,5,
26,1 2234,223.4,,0,,88.5,88.5,23,23,NN,FM,5,
27,2 22342,223.42,,0,,88.5,88.5,23,23,NN,FM,5,
28,3 22344,223.44,,0,,88.5,88.5,23,23,NN,FM,5,
29,4 22346,223.46,,0,,88.5,88.5,23,23,NN,FM,5,
30,5 22348,223.48,,0,,88.5,88.5,23,23,NN,FM,5,
31,C 2235,223.5,,0,,88.5,88.5,23,23,NN,FM,5,
32,7 22352,223.52,,0,,88.5,88.5,23,23,NN,FM,5,
33,1 4457,445.7,,0,,88.5,88.5,23,23,NN,FM,5,
34,2 445725,445.725,,0,,88.5,88.5,23,23,NN,FM,5,
35,3 44575,445.75,,0,,88.5,88.5,23,23,NN,FM,5,
36,4 445775,445.775,,0,,88.5,88.5,23,23,NN,FM,5,
37,5 4458,445.8,,0,,88.5,88.5,23,23,NN,FM,5,
38,6 445825,445.825,,0,,88.5,88.5,23,23,NN,FM,5,
39,7 44585,445.85,,0,,88.5,88.5,23,23,NN,FM,5,
40,8 445875,445.875,,0,,88.5,88.5,23,23,NN,FM,5,
41,9 4459,445.9,,0,,88.5,88.5,23,23,NN,FM,5,
42,10 445925,445.925,,0,,88.5,88.5,23,23,NN,FM,5,
43,11 44595,445.95,,0,,88.5,88.5,23,23,NN,FM,5,
44,12 445975,445.975,,0,,88.5,88.5,23,23,NN,FM,5,
45,C 446,446,,0,,88.5,88.5,23,23,NN,FM,5,
46,14 446025,446.025,,0,,88.5,88.5,23,23,NN,FM,5,
47,15 44605,446.05,,0,,88.5,88.5,23,23,NN,FM,5,
48,16 446075,446.075,,0,,88.5,88.5,23,23,NN,FM,5,
49,17 4461,446.1,,0,,88.5,88.5,23,23,NN,FM,5,
50,18 446125,446.125,,0,,88.5,88.5,23,23,NN,FM,5,
51,19 44615,446.15,,0,,88.5,88.5,23,23,NN,FM,5,
52,20 446175,446.175,,0,,88.5,88.5,23,23,NN,FM,5,
53,21 4462,446.2,,0,,88.5,88.5,23,23,NN,FM,5,
54,22 446225,446.225,,0,,88.5,88.5,23,23,NN,FM,5,
55,23 44625,446.25,,0,,88.5,88.5,23,23,NN,FM,5,
56,24 446275,446.275,,0,,88.5,88.5,23,23,NN,FM,5,
