Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,KB0UDD,145.400000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Aurora, Smoky Hill",,,,
2,AB0PC,146.895000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,"Bailey, Dick Mountain",,,,
3,WB0WDF,53.030000,-,1.000000,Tone,88.5,88.5,023,NN,FM,5.00,,"Canon City, Fremont Peak",,,,
4,WD0EKR,145.490000,-,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,"Canon City, Fremont Peak",,,,
5,WD0EKR,223.960000,-,1.600000,Tone,103.5,103.5,023,NN,FM,5.00,,"Canon City, Fremont Peak",,,,
6,WD0EKR,447.750000,-,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,,"Canon City, Fremont Peak",,,,
7,WB0WDF,449.000000,-,5.000000,Tone,67.0,67.0,023,NN,FM,5.00,,"Canon City, eightmile Mountain",,,,
8,KB0VJJ,145.130000,-,0.600000,Tone,88.5,123.0,023,NN,FM,5.00,,"Colorado Springs, Cheyenne Mountain",,,,
9,W0CRA,145.160000,-,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,"Colorado Springs, Cheyenne Mountain",,,,
10,KB0SRJ,145.265000,-,0.600000,Tone,100.0,100.0,023,NN,Auto,5.00,,Colorado Springs,,,,
11,KC0CVU,146.760000,-,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,"Colorado Springs, Cheyenne Mountain",,,,
12,W0RSH,146.850000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Colorado Springs,,,,
13,K0IRP,146.910000,-,0.600000,Tone,151.4,151.4,023,NN,FM,5.00,,Colorado Springs,,,,
14,KB0SRJ,146.970000,-,0.600000,Tone,100.0,123.0,023,NN,FM,5.00,,"Colorado Springs, Pikes Peak",,,,
15,,147.270000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Colorado Springs,,,,
16,KC0CVU,147.345000,+,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,"Colorado Springs, Cheyenne Mountain",,,,
17,W0MOG,147.390000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Colorado Springs,,,,
18,KF0WF,447.025000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,Colorado Springs,,,,
19,K0IRP,447.350000,-,5.000000,Tone,151.4,88.5,023,NN,FM,5.00,,Colorado Springs,,,,
20,NX0G,447.475000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,Colorado Springs,,,,
21,KC0CVU,448.100000,-,5.000000,Tone,107.2,107.2,023,NN,FM,5.00,,"Colorado Springs, Cheyenne Mountain",,,,
22,KB0SRJ,448.450000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"Colorado Springs, Pikes Peak",,,,
23,W0MOG,448.600000,-,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,Colorado Springs,,,,
24,KA0TTF,448.725000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,"Colorado Springs, Fillmore Hill",,,,
25,KB0SRJ,448.800000,-,5.000000,Tone,100.0,100.0,023,NN,Auto,5.00,,"Colorado Springs, UCCS",,,,
26,WA6IFI,927.725000,-,25.000000,DTCS,88.5,88.5,114,NN,FM,5.00,,"Colorado Springs, Almagre Mountain",,,,
27,N0ARA,147.120000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,"Critchell, Critchell Mountain",,,,
28,N0OWY,447.500000,-,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,"Conifer, Critchell Mountain",,,,
29,WB0WDF,145.460000,-,0.600000,Tone,67.0,88.5,023,NN,FM,5.00,,Cripple Creek,,,,
30,NX0G,147.015000,+,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,Cripple Creek,,,,
31,WB0WDF,447.400000,-,5.000000,Tone,67.0,88.5,023,NN,FM,5.00,,Cripple Creek,,,,
32,WB0WDF,1287.700000,-,20.000000,Tone,67.0,88.5,023,NN,FM,5.00,,Cripple Creek,,,,
33,KE4GUQ,145.340000,-,0.600000,Tone,103.5,127.3,023,NN,FM,5.00,,Evergreen,,,,
34,W0TX,145.490000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,"Idaho Springs, Centennial Cone",,,,
35,KB0UDD,146.670000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,"Idaho Springs, Squaw Mountain",,,,
36,WB0TUB,146.880000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Centennial, Warren Mountain",,,,
37,W0WYX,146.940000,-,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,"Idaho Springs, Squaw Mountain",,,,
38,W0CRA,147.225000,+,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,"Larkspur, Westcreek",,,,
39,N0PYY,147.300000,+,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,"Evergreen, Squaw Mountain",,,,
40,W0TX,147.330000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Lakewood, Green Mountain",,,,
41,W0CRA,224.980000,-,1.600000,Tone,107.2,107.2,023,NN,FM,5.00,,"Conifer, Conifer Mountain",,,,
42,W0CFI,448.675000,-,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,"Idaho Springs, Squaw Mountain",,,,
43,W0TX,449.350000,-,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,"Idaho Springs, Squaw Mountain",,,,
44,K1DUN,449.450000,-,5.000000,Tone,103.5,127.3,023,NN,FM,5.00,,"Idaho Springs, Squaw Mountain",,,,
45,W0CRA,1287.900000,-,20.000000,,88.5,88.5,023,NN,FM,5.00,,"Conifer, Conifer Mountain",,,,
46,W0CRA,53.050000,-,1.000000,Tone,107.2,107.2,023,NN,FM,5.00,,"Conifer, Conifer Mountain",,,,
47,WA6IFI,53.130000,-,1.000000,Tone,107.2,107.2,023,NN,FM,5.00,,"Colorado Springs, Cheyenne Mountain",,,,
48,W0CRA,145.145000,-,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,"Idaho Springs, Squaw Mountain",,,,
49,W0CRA,447.150000,-,5.000000,Tone,107.2,107.2,023,NN,FM,5.00,,"Conifer, Conifer Mountain",,,,
50,NX0G,146.685000,-,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,"Lake George, Badger Mountain",,,,
51,KC0CVU,147.360000,+,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,"Lake George, Badger Mountain",,,,
52,K0NR,447.725000,-,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,"Monument, Monument Hill",,,,
53,N0PWZ,449.725000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Palmer Divide,,,,
54,ND0Q,145.115000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,Pueblo,,,,
55,K0ST,146.655000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,"Pueblo, Pueblo",,,,
56,ND0Q,146.790000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,"Pueblo, Baculite Mesa",,,,
57,ND0Q,146.880000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,"Pueblo, Deer Peak",,,,
