Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtscRxCode,DtcsPolarity,Mode,TStep,Comment,Distance
0,K7QEQ,146.9,-,0.6,Tone,88.5,88.5,23,23,NN,FM,5,"Grand | OPEN | On-Air | Sinbad Desert ARC | UVHFS | 2015-03-29
    Please help us confirm this repeater!",0.1
1,K7QEQ,449.1,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,Grand | OPEN | On-Air | Grand Mesa Repeater Association (GMRA) | UVHFS | 2017-11-04,12.5
2,K7QEQ,146.76,-,0.6,Tone,88.5,88.5,23,23,NN,FM,5,Grand | OPEN | On-Air | Sinbad Desert ARC | UVHFS | 2017-11-04,12.7
3,KB0YNA,449.4,-,5,TSQL,131.8,131.8,23,23,NN,FM,5,"Mesa | OPEN | On-Air | WA4HND, Grand Mesa Repeater Association | CCARC | 2016-08-19",48.8
4,K7QEQ,447.4,-,5,,88.5,88.5,23,23,NN,FM,5,"San Juan | CLOSED | UVHFS | unverified.
  
   Please help us confirm this repeater!",50.9
5,K7QEQ,223.94,-,1.6,,88.5,88.5,23,23,NN,FM,5,"San Juan | CLOSED | Grand Mesa Rptr Assoc | UVHFS | unverified.
  
   Please help us confirm this repeater!",50.9
6,K7QEQ,447.1,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,San Juan | OPEN | On-Air | Grand Mesa Repeater Association (GMRA) | UVHFS | 2017-04-07,50.9
7,K7SDC,146.61,-,0.6,Tone,88.5,88.5,23,23,NN,FM,5,San Juan | OPEN | On-Air | Sinbad Desert ARC | UVHFS | 2017-04-07,50.9
8,W0RRZ,146.94,-,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,Mesa | OPEN | On-Air | Western Colorado Amateur Radio Club | CCARC | 2016-05-11,55
9,WA4HND,449.575,-,5,TSQL,131.8,131.8,23,23,NN,FM,5,Mesa | OPEN | On-Air | CCARC | 2018-01-15,55
10,W0GJT,448.15,-,5,Tone,100,88.5,23,23,NN,FM,5,Mesa | OPEN | On-Air | CCARC | 2016-04-22,61.1
11,KB0VJJ,147.355,-,0.6,TSQL,88.5,123,23,23,NN,FM,5,Mesa | OPEN | On-Air | Colorado Connection | CCARC | 2017-01-06,62.5
12,KB0SW,449,-,5,TSQL,88.5,107.2,23,23,NN,FM,5,Mesa | CLOSED | On-Air | KB0SW | CCARC | 2015-08-03,63.6
13,KD0SMZ,449.775,-,5,TSQL,173.8,88.5,23,23,NN,FM,5,Mesa | OPEN | On-Air | CCARC | 2015-10-25,63.6
14,W0GJT,146.82,-,0.6,Tone,107.2,88.5,23,23,NN,FM,5,Mesa | OPEN | On-Air | CCARC | 2016-04-22,63.6
15,KE0TY,147.39,+,0.6,Tone,107.2,88.5,23,23,NN,FM,5,"Mesa | OPEN | KE0TY | CCARC | 2012-11-10
    Please help us confirm this repeater!",63.6
16,KD0RED,446.775,-,5,,88.5,88.5,23,23,NN,DIG,5,"Mesa | OPEN | On-Air | 2014-08-16
    Please help us confirm this repeater!",63.6
17,KC0ARV,447.5,-,5,Tone,114.8,88.5,23,23,NN,FM,5,"Mesa | OPEN | KC0ARV | CCARC | 2012-11-10
    Please help us confirm this repeater!",63.6
18,KE0TY,145.22,-,0.6,Tone,107.2,88.5,23,23,NN,FM,5,"Mesa | OPEN | KE0TY | CCARC | 2012-11-12
    Please help us confirm this repeater!",63.6
19,K0SSI,147.105,+,0.6,,88.5,88.5,23,23,NN,FM,5,"Mesa | OPEN | On-Air | K0SSI | CCARC | 2013-04-20
    Please help us confirm this repeater!",63.6
20,W0RRZ,145.175,-,0.6,Tone,107.2,88.5,23,23,NN,FM,5,Mesa | OPEN | On-Air | CCARC | 2016-05-11,66.9
21,K7YI,447.125,-,5,Tone,100,88.5,23,23,NN,FM,5,"Emery | CLOSED | San Rafael Cactus Assoc | UVHFS | 2008-07-10
    Please help us confirm this repeater!",70.8
22,K7YI,448.075,-,5,,88.5,88.5,23,23,NN,DIG,5,"Carbon | OPEN | Off-Air | Sinbad Desert Amateur Radio Club | 2013-12-07
    Please help us confirm this repeater!",70.8
23,K7SDC,448.55,-,5,Tone,88.5,88.5,23,23,NN,FM,5,"Emery | OPEN | On-Air | N7QLO | UVHFS | 2014-11-05
    Please help us confirm this repeater!",70.8
24,K7SDC,147.14,+,0.6,Tone,88.5,88.5,23,23,NN,FM,5,Emery | OPEN | On-Air | Sinbad Desert ARC | UVHFS | 2015-08-04,70.9
25,K7SDC,147.08,+,0.6,Tone,136.5,88.5,23,23,NN,FM,5,Wayne | OPEN | On-Air | Sinbad Desert ARC | UVHFS | 2015-08-04,75.8
