Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtscRxCode,DtcsPolarity,Mode,TStep,Comment,Distance,Downlink,Uplink,Uplink Tone,County,Call,Use,On-air,Coverage,Sponsor,Features,Coordination,Last update,,Links,Nets,Op Status,Downlink Tone,Notes,Feed,Web links,Affiliate,AllStar,EchoLink,IRLP,Commands,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,YSF Digital Enabled,DG-ID,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,WIRES-X,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Worldwide,North America,Local/Cluster,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA
0,RMHARC 449.575,449.575,-,5,,88.5,88.5,23,23,NN,FM,5,,0,449.5750,"444.5750  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,El Paso,,CLOSED,,,RMHARC,,CCARC,2016-08-10,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CSARA 447.025,447.025,-,5,Tone,123,88.5,23,23,NN,FM,5,,0,447.0250,"442.0250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",123.0,El Paso,KF0WF,OPEN,,,Colorado Springs ARA,"Closed autopatch, e-power, linked, remote base.",CCARC,2016-08-10,,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,W0MOG 448.600,448.6,-,5,Tone,114.8,88.5,23,23,NN,FM,5,,0,448.6000,"443.6000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",114.8,El Paso,W0MOG,OPEN,Unknown,,W0MOG,,CCARC,"2012-11-10   
     Please help us confirm this repeater!",,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,GGARC 447.350,447.35,-,5,Tone,151.4,88.5,23,23,NN,FM,5,,0,447.3500,"442.3500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",151.4,El Paso,K0IRP,OPEN,,,GGARC,E-power.,CCARC,"2015-03-04   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PPFMA 224.060,224.06,-,1.6,,88.5,88.5,23,23,NN,FM,5,,0,224.0600,222.4600,,El Paso,KB0SRJ,CLOSED,Unknown,Wide area.,Pikes Peak FM Association (PPFMA),"E-power, linked.",CCARC,"2012-11-12   
     Please help us confirm this repeater!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,WA6IFI 447.550,447.55,-,5,Tone,123,88.5,23,23,NN,FM,5,,0,447.5500,"442.5500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",123.0,El Paso,WA6IFI,OPEN,,,WA6IFI,,CCARC,2015-11-13,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,N0KG 448.250,448.25,-,5,Tone,123,88.5,23,23,NN,FM,5,,0,448.2500,"443.2500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",123.0,El Paso,N0KG,OPEN,,Colorado Springs,,,CCARC,"2013-08-06   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,W0MOG 927.800,927.8,-,25,DTCS,88.5,88.5,116,116,NN,FM,5,,0,927.8000,"902.8000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",D116,Teller,W0MOG,OPEN,,,,"6,500', 12 watts.",CCARC,"2012-11-10   
     Please help us confirm this repeater!",,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MARC 447.475,447.475,-,5,Tone,107.2,88.5,23,23,NN,FM,5,,0,447.4750,"442.4750  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",107.2,El Paso,NX0G,OPEN,Unknown,,Mountain ARC (MARC),"Closed autopatch, e-power.",CCARC,"2012-11-10   
     Please help us confirm this repeater!",,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",MARC/PCRC: Tue at 1930.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AA0L 448.300,448.3,-,5,Tone,100,88.5,23,23,NN,FM,5,,0,448.3000,443.3000,100.0,El Paso,AA0L,OPEN,,,AA0L,,CCARC,2016-08-10,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
