Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsRxCode,DtcsPolarity,Mode,TStep,Comment
57, 447.35,447.35,-,5,Tone,107.2,88.5,23,23,NN,FM,5," 447.35 CO Delta Cedaredge, Grand Mesa"
58, 449.7,449.7,-,5,Tone,107.2,88.5,23,23,NN,FM,5, 449.7 CO Park Lake George
59,AB0PC 146.895,146.895,-,0.6,TSQL,100,100,23,23,NN,FM,5,"AB0PC 146.895 CO Park Bailey, Dick Mountain"
60,AC0KC 224.96,224.96,-,1.6,,88.5,88.5,23,23,NN,FM,5,AC0KC 224.96 CO Weld Fort Lupton
61,AC0KC 447.3,447.3,-,5,Tone,107.2,88.5,23,23,NN,FM,5,AC0KC 447.3 CO Weld Fort Lupton
62,AC0KQ 447.85,447.85,-,5,TSQL,141.3,141.3,23,23,NN,FM,5,"AC0KQ 447.85 CO Clear Creek Evergreen, Saddleback Mountain"
63,K0CL 146.67,146.67,-,0.6,Tone,107.2,88.5,23,23,NN,FM,5,K0CL 146.67 CO Pitkin Snowmass Village
64,K0EP 146.67,146.67,-,0.6,Tone,100,88.5,23,23,NN,FM,5,"K0EP 146.67 CO La Plata Durango, Eagle Pass"
65,K0EP 146.7,146.7,-,0.6,TSQL,100,100,23,23,NN,FM,5,"K0EP 146.7 CO La Plata Durango, Missionary Ridge"
66,K0FEZ 146.985,146.985,-,0.6,TSQL,100,100,23,23,NN,FM,5,"K0FEZ 146.985 CO Denver Golden, Centennial Cone"
67,K0FEZ 447.925,447.925,-,5,TSQL,100,100,23,23,NN,FM,5,K0FEZ 447.925 CO Denver Denver
68,K0GUR 448.15,448.15,-,5,TSQL,141.3,141.3,23,23,NN,FM,5,"K0GUR 448.15 CO Denver Denver, Green Valley Ranch"
69,K0IBM 448.85,448.85,-,5,TSQL,88.5,88.5,23,23,NN,FM,5,"K0IBM 448.85 CO Jefferson Golden, Guy Hill"
70,K0JSC 447.25,447.25,-,5,TSQL,100,100,23,23,NN,FM,5,"K0JSC 447.25 CO Fremont Canon City, Fremont Peak"
71,K0JSC 447.975,447.975,-,5,TSQL,100,100,23,23,NN,FM,5,"K0JSC 447.975 CO Fremont Canon City, Colorado"
72,K0JSC 448.325,448.325,-,5,TSQL,100,100,23,23,NN,FM,5,K0JSC 448.325 CO Custer Westcliffe
73,K0JSC 449.975,449.975,-,5,TSQL,100,100,23,23,NN,FM,5,"K0JSC 449.975 CO Chaffee Salida, Methodist Mountain"
74,K0JSC 449.975,449.975,-,5,TSQL,100,100,23,23,NN,FM,5,"K0JSC 449.975 CO Douglas Larkspur, Westcreek"
75,K0JSC 449.975,449.975,-,5,TSQL,100,100,23,23,NN,FM,5,"K0JSC 449.975 CO Fremont Canon City, Canon City"
76,K0ML 147.045,147.045,+,0.6,Tone,123,88.5,23,23,NN,FM,5,K0ML 147.045 CO Adams Northglenn
77,K0NR 447.725,447.725,-,5,TSQL,100,100,23,23,NN,FM,5,"K0NR 447.725 CO El Paso Monument, Monument Hill"
78,K0VQ 447.05,447.05,-,5,TSQL,136.5,136.5,23,23,NN,FM,5,"K0VQ 447.05 CO Pitkin Aspen, Aspen Mountain"
79,K1DUN 449.45,449.45,-,5,Cross,103.5,127.3,23,23,NN,FM,5,"K1DUN 449.45 CO Clear Creek Idaho Springs, Squaw Mountain"
80,K5GF 449.95,449.95,-,5,,88.5,88.5,23,23,NN,FM,5,K5GF 449.95 CO Gunnison Gunnison
81,K7QEQ 146.76,146.76,-,0.6,Tone,88.5,88.5,23,23,NN,FM,5,"K7QEQ 146.76 UT Grand Moab, Bald Mesa"
82,K7QEQ 146.9,146.9,-,0.6,Tone,88.5,88.5,23,23,NN,FM,5,K7QEQ 146.9 UT Grand Moab
83,K7QEQ 447.1,447.1,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,"K7QEQ 447.1 UT San Juan Monticello, Abajo Peak"
