Name,Location,Nets
KB0YNA 449.7,"CO San Miguel Telluride, Gray Head",RACES: Wed at 19:30.
KB0YNA 449.4,"CO Mesa Delta, Uncompahgre Butte",RACES Wed 1930 Hrs
WA4HND 447.2,"CO Montrose Montrose, Waterdog Peak",RACES Net Wed at 1930 Hrs.
K7QEQ 449.1,"UT Grand Moab, Bald Mesa",RACES Wed. 1930 hours
KD5LWU 146.79,"CO Montezuma Cortez, Downtown",4
WA4HND 449.3,"CO Mesa Grand Junction, Grand Mesa",RACES Wed 1930 hrs
WA4HND 449.575,"CO Mesa Grand Junction, Black Ridge",Wed RACES Net 1930 Hrs
W0RRZ 146.94,"CO Mesa Grand Junction, Black Ridge (Above Colorado Ntl Monument)",Oatmeal Net: Mon-Fri at 7:30AM-8:00AM
KB0VJJ 145.355,"CO Mesa Grand Junction, Grand Mesa","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00."
KB0VJJ 147.345,"CO La Plata Durango, Missionary Ridge","Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00."
KB0VJJ 146.85,"CO Garfield Glenwood Springs, Sunlight Peak",Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net
WA4HND 449.85,"CO Garfield Glenwood Springs, Lookout Mountain",Colorado State RACES  Wed 1930 local
K0JSC 449.975,"CO Chaffee Salida, Methodist Mountain","APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00."
KB0VJJ 147.285,"CO Chaffee Salida, Methodist Mountain","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00."
KB0VJJ 145.445,"CO Lake Leadville, Mosquito Pass","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00."
