Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsRxCode,DtcsPolarity,Mode,TStep,Comment
,KC0CVU 147.36,147.36,+,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,KC0CVU
,KC0CVU 927.85,927.85,-,25,DTCS,88.5,88.5,114,23,NN,FM,5,KC0CVU
,KC0CVU 145.375,145.375,-,0.6,,88.5,88.5,23,23,NN,DIG,5,KC0CVU
,KC0CVU 446.9125,446.9125,-,5,,88.5,88.5,23,23,NN,DIG,5,KC0CVU
,KC0CVU 146.76,146.76,-,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,KC0CVU
,KC0CVU 448,448,-,5,Tone,107.2,88.5,23,23,NN,FM,5,KC0CVU
,KC0CVU 448.1,448.1,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,KC0CVU
,KC0CVU 147.345,147.345,+,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,KC0CVU
,KC0CVU 145.295,145.295,-,0.6,Tone,107.2,88.5,23,23,NN,FM,5,KC0CVU
,KC0CVU 449.65,449.65,-,5,Tone,107.2,88.5,23,23,NN,FM,5,KC0CVU
,KC0CVU 449.625,449.625,-,5,Tone,107.2,88.5,23,23,NN,FM,5,KC0CVU
,KC0CVU 449.6,449.6,-,5,Tone,107.2,88.5,23,23,NN,FM,5,KC0CVU
