Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsRxCode,DtcsPolarity,Mode,TStep,Comment
,WA7GIE 147.38,147.38,+,0.6,Tone,100,88.5,23,23,NN,FM,5,WA7GIE
,WA7GIE 449.475,449.475,-,5,Tone,100,88.5,23,23,NN,FM,5,WA7GIE
,WA7GIE 448.625,448.625,-,5,,88.5,88.5,23,23,NN,FM,5,WA7GIE
,WA7GIE 448.975,448.975,-,5,,88.5,88.5,23,23,NN,FM,5,WA7GIE
,WA7GIE 448.65,448.65,-,5,,88.5,88.5,23,23,NN,FM,5,WA7GIE
,WA7GIE 147.36,147.36,+,0.6,Tone,100,88.5,23,23,NN,FM,5,WA7GIE
,WA7GIE 449.55,449.55,-,5,Tone,100,88.5,23,23,NN,FM,5,WA7GIE
,WA7GIE 449.425,449.425,-,5,Tone,100,88.5,23,23,NN,FM,5,WA7GIE
,WA7GIE 449,449,-,5,,88.5,88.5,23,23,NN,FM,5,WA7GIE
,WA7GIE 448.725,448.725,-,5,,88.5,88.5,23,23,NN,DIG,5,WA7GIE
,WA7GIE 147.38,147.38,+,0.6,,88.5,88.5,23,23,NN,DIG,5,WA7GIE
,WA7GIE 433.6,433.6,-,5,Tone,100,88.5,23,23,NN,FM,5,WA7GIE
,WA7GIE 449.55,449.55,-,5,Tone,123,88.5,23,23,NN,FM,5,WA7GIE
