Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Coordination,Last update,Downlink Tone,Sponsor,Features,Links,Notes,Nets,Feed,Affiliate,EchoLink,IRLP,Web links,On-air,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Worldwide,North America,Local/Cluster
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,0,ESE,,448.25,443.25,123,El Paso,On-Air,Colorado Springs,CCARC,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,0,ESE,,449.575,444.575,,El Paso,On-Air,,CCARC,,,RMHARC,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,0,ESE,,448.3,443.3,100,El Paso,On-Air,,CCARC,,,AA0L,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,0,ESE,,447.55,442.55,123,El Paso,On-Air,,CCARC,,,WA6IFI,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,0,ESE,,448.6,443.6,114.8,El Paso,,,CCARC,,,W0MOG,,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",,,,,,,,Unknown,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,0,ESE,,927.8,902.8,D116,Teller,On-Air,,CCARC,,,,6,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,0,ESE,,224.06,222.46,,El Paso,,Wide area.,CCARC,,,Pikes Peak FM Association (PPFMA),"E-power, linked.",,,,,,,,,Unknown,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,0,ESE,,447.475,442.475,107.2,El Paso,,,CCARC,,,Mountain ARC (MARC),"Closed autopatch, e-power.","Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,MARC/PCRC: Tue at 1930.,,,,,,Unknown,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,0,ESE,,447.025,442.025,123,El Paso,Off-Air,,CCARC,,,Colorado Springs ARA,"Closed autopatch, e-power, linked, remote base.",,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,0,ESE,,447.35,442.35,151.4,El Paso,On-Air,,CCARC,,,GGARC,E-power.,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,0.3,N,,147.39,147.99,103.5,El Paso,On-Air,,CCARC,,,W0MOG,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,0.3,N,,147.27,147.87,,El Paso,On-Air,,,,,TRA,E-power.,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,103.5,W0RSH,Colorado Springs,CO,OPEN,,0.3,N,,146.85,146.25,103.5,El Paso,On-Air,,CCARC,,,W0RSH,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,0.3,N,,146.91,146.31,151.4,El Paso,On-Air,,CCARC,,151.4,GGARC,E-power.,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,1.2,E,,147.135,147.735,100,El Paso,On-Air,,CCARC,,,AA0L,6,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,4,SSW,,448.725,443.725,123,El Paso,On-Air,,CCARC,,,KA0TTF,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,4.7,NNE,,224.72,223.12,103.5,El Paso,On-Air,Local,,,103.5,w0mog,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.5,SSW,,446.9125,441.9125,,El Paso,On-Air,,,,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,,,,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.5,SSW,,53.13,51.43,107.2,El Paso,On-Air,,CCARC,,107.2,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,http://www.cmrg.org,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.5,SSW,,445.0625,440.0625,,El Paso,Off-Air,,CCARC,,,Rocky Mountain Ham Radio,The DMR-MARC Worldwide Network,,,,,,,,,,,,,,1,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,2
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.5,SSW,,145.13,144.53,88.5,El Paso,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,CCARC,,123,Colorado Connection,9,Full-time to the  Colorado Connection System .,Linked into the Colorado Connection System,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",Listen Live,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.5,SSW,,927.85,902.85,D114,Teller,On-Air,,CCARC,,,CMRG,9,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,http://www.cmrg.org,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.6,SSW,,145.375,144.77,,El Paso,On-Air,wide area,CCARC,,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,http://www.cmrg.org,,,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,
