Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Coordination,Last update,Uplink Tone,Coverage,Features,Web links,Downlink Tone,Notes,Nets,Links,AllStar,DMR Enabled,Color Code,Wide Network,Commands,Affiliate,EchoLink,IRLP,YSF Digital Enabled,DG-ID,Mixed-Mode,WIRES-X
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,0.3,SE,,449.65,444.65,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",Denver,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,0.3,ESE,,448.075,443.075,,,,Denver,On-Air,W0IG,CCARC,,123,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,0.3,ESE,,145.475,144.875,,,,Jefferson,On-Air,Intermountain Repeater Group,CCARC,,100,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",E-power.,Intermountain Repeater Group,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,0.3,ESE,,146.715,146.115,,,,Denver,On-Air,EARS,CCARC,,123,,E-power.,,123,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,0.3,ESE,,448.55,443.55,,,,Denver,Off-Air,HPRA,CCARC,,82.5,,E-power.,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,0.3,SE,,447.925,442.925,,,,Denver,On-Air,RADOPS El Jebel Shriners,CCARC,,100,,,,100,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,0.3,SE,,447.9,442.9,,,,Denver,Off-Air,WB0TPT,CCARC,,CSQ,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,0.3,SE,,449.675,444.675,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",Denver,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,,,,,,,,,,,,,,,,,7708,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,1.1,N,,447.175,442.175,,,,Denver,On-Air,W0JRL,CCARC,,100,,,,100,,,,29997,,,,Standard AllStar Link access commands.,,201712,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,7.1,W,,147.21,147.81,,,,Jefferson,On-Air,Denver Water Amateur Radio Club,,,100,,,,100,,DVARC: Thu at 15:30. The net allows DWARC members the ability to test the radio capabilities as well as policies and procedures. This NET is a work in progress and has a good possibility to change times and locations.,,,,,,,,,,,23,Yes; analog capable.,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,7.2,NNW,,449.3,444.3,,,,Adams,On-Air,N1UPS,CCARC,,100,,,,,,,,,,,,,,43699,3699,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,7.4,WSW,,448.75,443.75,,,,Jefferson,On-Air,,CCARC,,100,Local.,E-power.,,100,,,,,,,,,N0ELY,,,,,,
