Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Coordination,Last update,Downlink Tone,Coverage,Sponsor,Features,Links,Notes,Nets,IRLP,AllStar,EchoLink,Affiliate,On-air,Commands,Grid,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,D-STAR Enabled,Node,Sources,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Denver Regional,Northern Colorado
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,0,ESE,,147.27,147.87,127.3,Ouray,On-Air,http://www.sjcham.com,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,14.6,S,,145.325,144.725,127.3,San Juan,On-Air,http://www.sjcham.com,CCARC,,,,,Solar powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,14.6,S,,444,449,67,Huerfano,On-Air,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,14.6,S,,447.525,442.525,127.3,San Juan,On-Air,,CCARC,,,Wide area.,KB5ITS,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,16,S,,147.375,147.975,156.7,San Juan,On-Air,http://www.sjcham.com,CCARC,,,Wide area.,,13,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,16.5,W,,449.7,444.7,107.2,San Miguel,On-Air,,CCARC,,107.2,Wide Area via links - Western Colorado - Eastern Utah,Grand Mesa Repeater Association ( GMRA ),E-power.,Full-time to the  GMRA Open System .,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,3710,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,19.4,ESE,,147.135,146.535,123,Hinsdale,On-Air,http://www.sjcham.com,CCARC,,,,,E-power (solar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,23.5,SSW,,147.27,147.87,127.3,San Juan,On-Air,,CCARC,,,Wide area.,KB5ITT,E-power.,,,,,,,Durango ARC,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,25.2,N,,447.2,442.2,107.2,Montrose,On-Air,GMRA Repeaters,CCARC,,107.2,Delta/Montrose,,9,Full-time to the  GMRA Open System .,Closed IRLP out - Ask for a control op,RACES Net Wed at 1930 Hrs.,3710,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,25.2,N,,448.65,443.65,,Montrose,On-Air,,,,151.4,Wide area.,KB0YNA,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,33.4,NNW,,146.79,146.19,107.2,Montrose,On-Air,,CCARC,,107.2,,KC0UXX,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,33.4,NNW,,146.91,146.31,107.2,Montrose,On-Air,,CCARC,,107.2,,,E-Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,37.2,SE,,449.525,444.525,100,Mineral,On-Air,,,,100,,N0PKT,,Full-time to the  The Fun Machine System .,,,,43265,,The Fun Machine,,,DM67lt,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,42.4,SE,,146.925,146.325,,Mineral,Off-Air,,CCARC,,,,Creede ARC,,,WA0JS license expired,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,44.6,S,,146.7,146.1,100,La Plata,On-Air,http://durangoarc.org/,CCARC,,100,Local.,Durango ARC,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,45.7,S,,445.1375,440.1375,,La Plata,On-Air,http://www.rmham.org/,CCARC,,,,K2AD,,,,,,,,Rocky Mountain Ham Radio,,,,,7,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,45.9,SSW,,146.67,146.07,100,La Plata,On-Air,DARC Repeaters,CCARC,,,Wide area.,Durango ARC,11,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",Linked active in the summer months only.,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,46.8,S,,147.345,147.945,88.5,La Plata,On-Air,,CCARC,,123,Durango and north towards Molas Divide.,Colorado Connection,,Full-time to the  Colorado Connection System .,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,52.7,SSW,,442.375,447.375,100,Montezuma,On-Air,,,,,,San Juan Connection,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,52.9,SSW,,448.625,443.625,131.8,La Plata,,,CCARC,,131.8,Wide area.,KC5EVE,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
