Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Web links,Coordination,Last update,Downlink Tone,Nets,Notes,D-STAR Enabled,Node,Sources,On-air,Affiliate,IRLP,Links,EchoLink,Location Photo,Grid,Commands,AllStar,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Worldwide,North America,English,Data,DMRX 1,Utah Statewide 2,Local/Cluster,TAC 310,TAC 311,USA,Utah,Mountain Reg USA,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,string,29.3,SSE,string,146.9,146.3,88.5,Grand,On-Air,Moab and immediate surroundings.,Sinbad Desert ARC,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",http://sdarc.us/repeaters/moab.html,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,string,39,SE,string,449.1,444.1,107.2,Grand,On-Air,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",Grand Mesa Repeater Association (GMRA),8,GMRA Repeaters,UVHFS,string,107.2,RACES Wed. 1930 hours,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,string,39.1,SE,string,146.76,146.16,88.5,Grand,On-Air,Moab and immediate surroundings.,Sinbad Desert ARC,undefined,http://www.sdarc.us/repeaters/bald.html,UVHFS,string,undefined,undefined,8,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.075,-5,string,K7YI,"Price, Cedar Mountain",UT,OPEN,string,45.4,WNW,string,448.075,443.075,undefined,Carbon,Off-Air,string,Sinbad Desert Amateur Radio Club,undefined,undefined,undefined,string,undefined,undefined,undefined,string,K7YI (B),"jfindu lookup 
    /   dstar-users lookup",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.125,-5,100,K7YI,"Castle Dale, Cedar Mountain",UT,CLOSED,string,45.8,WNW,string,447.125,442.125,100,Emery,undefined,"Wide area: This covers (approximately) from Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",San Rafael Cactus Assoc,7,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,Cactus-Intertie,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.55,-5,88.5,K7SDC,"Castle Dale, Cedar Mountain",UT,OPEN,I,45.8,WNW,string,448.55,443.55,88.5,Emery,On-Air,"Wide area: Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",N7QLO,Remote base.,undefined,UVHFS,string,undefined,undefined,Stand alone.,undefined,undefined,undefined,undefined,undefined,3280,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.14,0.6,88.5,K7SDC,"Castle Dale, Cedar Mountain",UT,OPEN,EI,45.9,WNW,string,147.14,147.74,88.5,Emery,On-Air,"Wide area: Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",Sinbad Desert ARC,"Closed autopatch, remote base.",http://sdarc.us/repeaters/cedar.html,UVHFS,string,undefined,undefined,7,undefined,undefined,undefined,undefined,undefined,3270,Full-time to the  Sinbad Desert (SDARC) System .,64264,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.05,-5,88.5,K7SDC,"Sunnyside, Bruin Point",UT,OPEN,EI,55.7,NNW,string,449.05,444.05,88.5,Carbon,On-Air,"Wide area: Roosevelt, Duchesne, near Vernal, and Price, with spotty coverage from Price down to I-70 on US-6 and US-10.",Sinbad Desert ARC,Remote base.,http://sdarc.us/repeaters/bruin.html,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,3270,undefined,64264,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.32,0.6,88.5,K7SDC,"Sunnyside, Bruin Point",UT,OPEN,EI,55.7,NNW,string,147.32,147.92,88.5,Carbon,On-Air,"Wide area: Roosevelt, Duchesne, near Vernal, and Price, with spotty coverage from Price down to I-70 on US-6 and US-10. 50 mi radius.",Sinbad Desert ARC,Remote base.,http://sdarc.us/repeaters/bruin.html,UVHFS,string,undefined,undefined,110,undefined,undefined,undefined,undefined,undefined,3270,undefined,64264,string,DM49tp,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.175,-0.6,string,WX7Y,"Sunny Side, Bruin Peak",UT,OPEN,string,56.2,NNW,string,145.175,144.575,string,Carbon,On-Air,Eastern Utah,SDARC,undefined,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Sinbad Desert A.R.C.,undefined,undefined,undefined,undefined,undefined,United States,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,string,58,ESE,string,146.94,146.34,107.2,Mesa,On-Air,Grand Junction 30-50 mi,Western Colorado Amateur Radio Club,E-power and autopatch for WCARC members,http://w0rrz.org,CCARC,string,107.2,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,58,ESE,string,449.575,444.575,131.8,Mesa,On-Air,Grand Junction,undefined,e-power. Linked to GMRA Open System,GMRA Repeaters,CCARC,string,131.8,Wed RACES Net 1930 Hrs,Closed IRLP out,undefined,undefined,undefined,undefined,Grand Mesa Repeater Assoc,3710,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447,-5,107.2,KB0SW,"Loma, Baxter Pass",CO,OPEN,string,64,NE,string,447,442,107.2,Garfield,On-Air,Wide area.,undefined,8,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,string,67.7,ESE,string,147.355,146.755,88.5,Mesa,On-Air,undefined,Colorado Connection,undefined,undefined,CCARC,string,123,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Full-time to the  Colorado Connection System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,67.9,SE,string,449.4,444.4,131.8,Mesa,On-Air,Wide area via links - Western Colorado - Eastern Utah,"WA4HND,  Grand Mesa Repeater Association",E-power.,http://www.gmra.org,CCARC,string,131.8,RACES Wed 1930 Hrs,Closed IRLP out - Ask for a control op,undefined,undefined,undefined,undefined,undefined,3710,Full-time to the  GMRA Open System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.775,-5,string,KD0RED,Grand Junction,CO,OPEN,string,68.5,ESE,string,446.775,441.775,undefined,Mesa,On-Air,undefined,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,string,KD0RED (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,string,68.5,ESE,string,145.22,144.62,107.2,Mesa,undefined,undefined,KE0TY,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,string,68.5,ESE,string,447.5,442.5,114.8,Mesa,undefined,undefined,KC0ARV,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449,-5,string,KB0SW,Grand Junction,CO,CLOSED,string,68.5,ESE,string,449,444,string,Mesa,On-Air,undefined,KB0SW,undefined,undefined,CCARC,string,107.2,undefined,undefined,undefined,undefined,undefined,undefined,Grand Mesa Repeater Assoc,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.105,0.6,string,K0SSI,Grand Junction,CO,OPEN,string,68.5,ESE,string,147.105,147.705,string,Mesa,On-Air,undefined,K0SSI,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
