Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Features,EchoLink,AllStar,Nets,Coordination,Last update,Sponsor,Web links,Notes,YSF Digital Enabled,DG-ID,Mixed-Mode,Affiliate,D-STAR Enabled,Node,Sources,IRLP,Commands,Links,WIRES-X,DMR Enabled,Color Code,Wide Network,Grid,Feed,P25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Talkgroups,Southern Colorado,Denver Regional,Colorado,Northern Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,On-air,Worldwide,North America,Local/Cluster,English,TAC 310,N. Colorado,DCI Bridge,Mountain Reg USA,Worldwide English,Location Photo
447.225,-5,141.3,AB0BX,"Highlands Ranch, STEM School",CO,OPEN,EA,4.1,SSE,string,447.225,442.225,141.3,141.3,Douglas,Off-Air,8,"AllStar, EchoLink, 25ft",373051,41967,Amateur Satellite net 7PM MST thursday,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,string,8.2,NW,string,224.38,222.78,100,100,Jefferson,On-Air,undefined,undefined,undefined,undefined,undefined,CCARC,string,Denver Radio Club,DRC Repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,string,8.2,NW,string,147.33,147.93,100,undefined,Jefferson,On-Air,Metro Denver and the foothills.,E-power.,undefined,undefined,SATERN: Thu at 19:30.,CCARC,string,Denver Radio Club,DRC Repeaters,Not recommeded to use tone squelch on this repeater.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,string,8.2,NW,string,449.775,444.775,100,100,Jefferson,On-Air,Metro Denver,undefined,undefined,undefined,undefined,CCARC,string,Denver Radio Club,Denver Radio Club,undefined,string,Open ↑ / Open ↓,Yes; analog capable.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,string,8.5,NW,string,448.75,443.75,100,100,Jefferson,On-Air,Local.,E-power.,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,N0ELY,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,string,8.8,N,string,449.65,444.65,undefined,undefined,Denver,On-Air,undefined,undefined,undefined,undefined,undefined,CCARC,string,Colorado Amateur Repeater Network (CARN),undefined,undefined,undefined,undefined,undefined,undefined,string,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,8.8,N,string,449.675,444.675,undefined,undefined,Denver,On-Air,undefined,undefined,undefined,undefined,undefined,CCARC,string,Colorado Amateur Repeater Network (CARN),undefined,undefined,undefined,undefined,undefined,undefined,string,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",7708,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.925,-5,100,K0FEZ,Denver,CO,OPEN,string,8.8,N,string,447.925,442.925,100,100,Denver,On-Air,undefined,undefined,undefined,undefined,undefined,CCARC,string,RADOPS El Jebel Shriners,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,string,8.8,N,string,447.9,442.9,CSQ,undefined,Denver,Off-Air,undefined,undefined,undefined,undefined,undefined,CCARC,string,WB0TPT,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.075,-5,123,N5EHP,Denver,CO,OPEN,string,8.9,NNE,string,448.075,443.075,123,undefined,Denver,On-Air,undefined,undefined,undefined,undefined,undefined,CCARC,string,W0IG,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
