Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Features,Coordination,Last update,Sponsor,Coverage,Links,Affiliate,IRLP,Notes,Nets,Web links,On-air,Commands,EchoLink,DMR Enabled,Color Code,Wide Network,AllStar,D-STAR Enabled,Node,Sources,Grid,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,string,number,ESE,string,146.91,146.31,107.2,107.2,Montrose,On-Air,E-Power,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,string,number,ESE,string,146.79,146.19,107.2,107.2,Montrose,On-Air,E-power.,CCARC,string,KC0UXX,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.65,-5,string,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,string,12.6,SE,string,448.65,443.65,string,151.4,Montrose,On-Air,undefined,undefined,string,KB0YNA,Wide area.,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,12.6,SE,string,447.2,442.2,107.2,107.2,Montrose,On-Air,9,CCARC,string,undefined,Delta/Montrose,Full-time to the  GMRA Open System .,Grand Mesa Repeater Assoc,3710,Closed IRLP out - Ask for a control op,RACES Net Wed at 1930 Hrs.,GMRA Repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,string,29.4,N,string,449.825,444.825,100,undefined,Delta,undefined,undefined,CCARC,string,W0ALC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,string,29.4,N,string,147.36,147.96,100,undefined,Delta,undefined,undefined,CCARC,string,W0ALC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,string,29.4,N,string,147.195,147.795,107.2,undefined,Delta,undefined,undefined,undefined,string,undefined,Local.,undefined,Colorado District 25 ARES,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,string,31,NNE,string,147.33,147.93,107.2,undefined,Delta,On-Air,undefined,CCARC,string,North Fork Repeater Assoc.,Wide area.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,string,33.4,SSE,string,147.27,147.87,127.3,undefined,Ouray,On-Air,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,http://www.sjcham.com,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,34.1,S,string,449.7,444.7,107.2,107.2,San Miguel,On-Air,E-power.,CCARC,string,Grand Mesa Repeater Association ( GMRA ),Wide Area via links - Western Colorado - Eastern Utah,Full-time to the  GMRA Open System .,undefined,3710,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.35,-5,107.2,string,"Cedaredge, Grand Mesa",CO,OPEN,string,36,N,string,447.35,442.35,107.2,undefined,Delta,undefined,undefined,CCARC,string,Grand Mesa Repeater Assoc (GMRA),undefined,undefined,undefined,undefined,undefined,undefined,GMRA Repeaters,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,40.8,N,string,449.65,444.65,151.4,151.4,Mesa,On-Air,NWS weather alert system.,CCARC,string,Keri Washburn,Wide area coverage,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",undefined,8162,undefined,undefined,undefined,undefined,11,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,string,40.8,N,string,145.355,144.755,88.5,123,Mesa,On-Air,E-power.,CCARC,string,Colorado Connection,"Rifle to the east, several miles east of Green River, Utah to the west.",Full-time to the  Colorado Connection System .,undefined,undefined,Colorado Connection system of repeaters,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,42.2,W,string,449.4,444.4,131.8,131.8,Mesa,On-Air,E-power.,CCARC,string,"WA4HND,  Grand Mesa Repeater Association",Wide area via links - Western Colorado - Eastern Utah,Full-time to the  GMRA Open System .,undefined,3710,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,http://www.gmra.org,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,string,43.4,SE,string,147.135,146.535,123,undefined,Hinsdale,On-Air,E-power (solar),CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,http://www.sjcham.com,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,44.3,NW,string,448.15,443.15,100,undefined,Mesa,On-Air,undefined,CCARC,string,undefined,undefined,undefined,undefined,7963,undefined,undefined,undefined,undefined,undefined,312189,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,44.7,NNW,string,449.3,444.3,107.2,107.2,Mesa,On-Air,e-power Linked to GMRA Open System,CCARC,string,undefined,Wide Area I-70 West Rifle to Western Utah,undefined,undefined,3710,Closed IRLP out,RACES Wed 1930 hrs,http://www.gmra.org/,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.9125,-5,CC1,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,string,46.2,NNW,string,446.9125,441.9125,string,undefined,Mesa,On-Air,undefined,undefined,string,Bill Frost,"Grand Junction, I70",undefined,undefined,undefined,Brandmeister network,undefined,undefined,undefined,undefined,undefined,string,1,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,string,47.5,SSE,string,444,449,67,undefined,Huerfano,On-Air,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,http://www.sjcham.com,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
