Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Coordination,Last update,Op Status,Coverage,Features,EchoLink,Notes,Links,Downlink Tone,Affiliate,Nets,Web links,Grid,IRLP,AllStar,Commands,DMR Enabled,Color Code,Wide Network,D-STAR Enabled,Node,Sources,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Feed,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Worldwide,North America,Local/Cluster,YSF Digital Enabled,DG-ID,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide English,DCI Bridge,N. Colorado,English,TAC 310,Location Photo,WIRES-X,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
224.02,-1.6,string,KI0G,Glenwood Springs,CO,CLOSED,string,11.4,ESE,string,224.02,222.42,string,Garfield,Unknown,SCARC,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,11.4,ESE,string,147.3,147.9,107.2,Garfield,undefined,Roaring Fork Amateur Repeater Cooperative,CCARC,string,Off-Air,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",8,266359,Single beep courtesy tone when linked and none when unlinked.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.6,-5,string,KI0G,Glenwood Springs,CO,CLOSED,string,11.4,ESE,string,447.6,442.6,string,Garfield,Unknown,Ski Country ARC (SCARC),CCARC,string,undefined,40,50,undefined,Link Hub for 146.880.,"Full-time to  
        146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,string,11.4,ESE,string,449.85,444.85,131.8,Garfield,undefined,undefined,CCARC,string,On-Air,Glenwood Springs,e-power  Linked to GMRA Open System,undefined,RACES net Wed 1930 Hrs Local,Full-time to the  GMRA Open System .,131.8,Grand Mesa Repeater Assoc,Colorado State RACES  Wed 1930 local,http://GMRA.org,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,13.1,SE,string,146.85,146.25,88.5,Garfield,undefined,Colorado Connection,CCARC,string,On-Air,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",70,undefined,Part of the Colorado Connection System of Repeaters,undefined,123,undefined,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,13.1,SE,string,447.1,442.1,107.2,Garfield,undefined,Ski Country ARC,CCARC,string,On-Air,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,13.1,SE,string,449.6,444.6,107.2,Garfield,undefined,undefined,CCARC,string,On-Air,Wide area.,e-power Linked to GMRA open system,undefined,undefined,undefined,undefined,undefined,undefined,http://www.gmra.org,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,13.1,SE,string,146.88,146.28,107.2,Garfield,undefined,Ski Country ARC,CCARC,string,On-Air,undefined,undefined,undefined,undefined,"Full-time to  
        447.60000 (KI0G) at Glenwood Springs, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,14.3,WSW,string,146.76,146.16,107.2,Garfield,undefined,"N0SWE,  Roaring Fork Amateur Repeater Cooperative",CCARC,string,Off-Air,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",E-power.,243117,undefined,undefined,undefined,undefined,undefined,undefined,DM69cl,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,string,16.8,SE,string,147.39,147.99,107.2,Garfield,undefined,Roaring Fork Amateur Repeater Cooperative,undefined,string,On-Air,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
