Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Features,IRLP,Notes,Nets,Web links,Coordination,Last update,DMR Enabled,Color Code,Wide Network,Sponsor,Commands,AllStar,On-air,Affiliate,EchoLink,D-STAR Enabled,Node,Sources,Links,Grid,Location Photo
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,6.5,SE,string,449.3,444.3,107.2,107.2,Mesa,On-Air,Wide Area I-70 West Rifle to Western Utah,e-power Linked to GMRA Open System,3710,Closed IRLP out,RACES Wed 1930 hrs,http://www.gmra.org/,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.9125,-5,CC1,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,string,6.8,SE,string,446.9125,441.9125,string,undefined,Mesa,On-Air,"Grand Junction, I70",undefined,undefined,Brandmeister network,undefined,undefined,undefined,string,string,1,string,Bill Frost,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,9.2,W,string,145.175,144.575,107.2,undefined,Mesa,On-Air,Greater grand Junction area.,"E-power,",3161,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,Standard IRLP node commands.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.82,-0.6,107.2,W0GJT,Grand Junction,CO,OPEN,A,11.1,WSW,string,146.82,146.22,107.2,undefined,Mesa,On-Air,Wide area: North Western Colorado - South to Montrose and East on I-70.,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,28515,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,string,11.1,WSW,string,147.39,147.99,107.2,undefined,Mesa,undefined,undefined,Linked.,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,KE0TY,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.105,0.6,string,K0SSI,Grand Junction,CO,OPEN,string,11.2,WSW,string,147.105,147.705,string,undefined,Mesa,On-Air,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,K0SSI,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,string,11.2,WSW,string,145.22,144.62,107.2,undefined,Mesa,undefined,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,KE0TY,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449,-5,string,KB0SW,Grand Junction,CO,CLOSED,string,11.2,WSW,string,449,444,string,107.2,Mesa,On-Air,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,KB0SW,undefined,undefined,undefined,Grand Mesa Repeater Assoc,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,string,11.2,WSW,string,447.5,442.5,114.8,undefined,Mesa,undefined,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,KC0ARV,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,11.2,WSW,string,449.775,444.775,173.8,88.5,Mesa,On-Air,undefined,undefined,7573,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,7572,undefined,undefined,undefined,undefined,undefined,undefined
