Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Coordination,Last update,Downlink Tone,Coverage,Sponsor,Features,Links,IRLP,Notes,Nets,Affiliate,Grid,AllStar,On-air,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Commands,EchoLink,D-STAR Enabled,Node,Sources,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Denver Regional,Northern Colorado
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,string,10.1,SSE,string,147.27,147.87,127.3,Ouray,On-Air,http://www.sjcham.com,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,16.2,SW,string,449.7,444.7,107.2,San Miguel,On-Air,undefined,CCARC,string,107.2,Wide Area via links - Western Colorado - Eastern Utah,Grand Mesa Repeater Association ( GMRA ),E-power.,Full-time to the  GMRA Open System .,3710,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,16.8,NNE,string,447.2,442.2,107.2,Montrose,On-Air,GMRA Repeaters,CCARC,string,107.2,Delta/Montrose,undefined,9,Full-time to the  GMRA Open System .,3710,Closed IRLP out - Ask for a control op,RACES Net Wed at 1930 Hrs.,Grand Mesa Repeater Assoc,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.65,-5,string,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,string,16.8,NNE,string,448.65,443.65,string,Montrose,On-Air,undefined,undefined,string,151.4,Wide area.,KB0YNA,undefined,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,string,23.4,NNW,string,146.91,146.31,107.2,Montrose,On-Air,undefined,CCARC,string,107.2,undefined,undefined,E-Power,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,string,23.4,NNW,string,146.79,146.19,107.2,Montrose,On-Air,undefined,CCARC,string,107.2,undefined,KC0UXX,E-power.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,string,24.1,SSE,string,145.325,144.725,127.3,San Juan,On-Air,http://www.sjcham.com,CCARC,string,undefined,undefined,undefined,Solar powered,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,string,24.1,SSE,string,444,449,67,Huerfano,On-Air,http://www.sjcham.com,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,string,24.1,SSE,string,447.525,442.525,127.3,San Juan,On-Air,undefined,CCARC,string,undefined,Wide area.,KB5ITS,E-power.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,string,25.4,SE,string,147.135,146.535,123,Hinsdale,On-Air,http://www.sjcham.com,CCARC,string,undefined,undefined,undefined,E-power (solar),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,string,25.8,SSE,string,147.375,147.975,156.7,San Juan,On-Air,http://www.sjcham.com,CCARC,string,undefined,Wide area.,undefined,13,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,string,31.4,S,string,147.27,147.87,127.3,San Juan,On-Air,undefined,CCARC,string,undefined,Wide area.,KB5ITT,E-power.,undefined,undefined,undefined,undefined,Durango ARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,45.5,SE,string,449.525,444.525,100,Mineral,On-Air,undefined,undefined,string,100,undefined,N0PKT,undefined,Full-time to the  The Fun Machine System .,undefined,undefined,undefined,The Fun Machine,DM67lt,43265,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.925,-0.6,string,WA0JS,Creede,CO,OPEN,string,49.8,SE,string,146.925,146.325,string,Mineral,Off-Air,undefined,CCARC,string,undefined,undefined,Creede ARC,undefined,undefined,undefined,WA0JS license expired,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,string,50.2,N,string,147.33,147.93,107.2,Delta,On-Air,undefined,CCARC,string,undefined,Wide area.,North Fork Repeater Assoc.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,string,52.6,N,string,147.195,147.795,107.2,Delta,undefined,undefined,undefined,string,undefined,Local.,undefined,undefined,undefined,undefined,undefined,undefined,Colorado District 25 ARES,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,string,52.6,N,string,449.825,444.825,100,Delta,undefined,undefined,CCARC,string,undefined,undefined,W0ALC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,string,52.6,N,string,147.36,147.96,100,Delta,undefined,undefined,CCARC,string,undefined,undefined,W0ALC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.95,-5,string,K5GF,Gunnison,CO,OPEN,string,52.6,E,string,449.95,444.95,string,Gunnison,undefined,undefined,CCARC,string,undefined,undefined,K5GF,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.12,0.6,string,W0VTL,Gunnison,CO,OPEN,string,52.6,E,string,147.12,147.72,string,Gunnison,On-Air,undefined,CCARC,string,undefined,undefined,W0VTL,E-power.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,string,52.8,SSW,string,146.67,146.07,100,La Plata,On-Air,DARC Repeaters,CCARC,string,undefined,Wide area.,Durango ARC,11,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",undefined,Linked active in the summer months only.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
