Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Downlink Tone,Op Status,Coverage,Affiliate,AllStar,Notes,Nets,Links,Web links,EchoLink,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,IRLP,Worldwide,North America,Local/Cluster,Feed,D-STAR Enabled,Node,Sources,YSF Digital Enabled,DG-ID,Mixed-Mode,Commands,Location Photo,Grid,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,0,ESE,,449.025,444.025,141.3,Teller,Unknown,Mountain Amateur Radio Club (MARC),Linked.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,0,WNW,,449.325,444.325,103.5,Teller,,KA4EPS,E-power. Allstar Node 27976,CCARC,,103.5,On-Air,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",Amateur Radio Motorcycle Club,27976,Node # 27976,"Sunday 1500 MST
Tuesday 1730 MST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,0,SW,,927.9,902.9,D205,Teller,,MARC,,CCARC,,D205,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,0,ESE,,448.65,443.65,107.2,Teller,,Mountain ARC (MARC),E-power.,CCARC,,,On-Air,,MARC,,,MARC/PCRC: Tue at 19:30.,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,0,WNW,,447.675,442.675,179.9,Teller,,Mountain Amateur Radio Club (MARC),E-power.,CCARC,,179.9,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,0,ESE,,146.82,146.22,107.2,Teller,,Mountain ARC,E-power.,CCARC,,,On-Air,,,,,MARC/PCRC: Tue at 19:30.,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,0,ESE,,145.415,144.815,179.9,Teller,Unknown,MARC,"Closed autopatch, e-power.",CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,10.6,S,,146.97,146.37,100,El Paso,,Pikes Peak FM Assoc,"Closed autopatch, e-power.",CCARC,,123,On-Air,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",,,,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.","Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,10.6,S,,448.45,443.45,100,El Paso,,Pikes Pk FM Assoc,E-power.,CCARC,,,On-Air,Wide area.,,,,,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,12,NE,,447.725,442.725,100,El Paso,,K0NR,30,CCARC,,100,On-Air,Local.,,,,,,http://www.k0nr.com/wordpress/k0nr-repeater/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,12,NE,,145.19,144.59,131.8,Douglas,,N0OBA Owner,,,,131.8,On-Air,Wide area coverage at 8300' Pueblo to Ft. Collins+,,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,12.4,NNW,,446.875,441.875,,Douglas,,W0VG,,CCARC,,,On-Air,,RMHAM,,,,Full-time to the  Colorado TRBO System .,http://www.rmham.org,,,6,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,12.6,N,,448.425,443.425,107.2,Douglas,,Colorado Repeater Association (CRA),,,,107.2,On-Air,Wide area,ARESDEC,,,,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",http://www.w0cra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,12.6,N,,147.225,147.825,107.2,Douglas,,Colorado Repeater Association (CRA),Closed autopatch,CCARC,,107.2,On-Air,Wide area,CRA VHF Link System,,,"CRA Net, Sunday 9AM","Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",Colorado Repeater Association,347086,,,,,,,,,,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,12.6,N,,449.975,444.975,100,Douglas,,K0JSC,Simulcast and Voted with Cedarwood and Methodist.,CCARC,,100,On-Air,,The Fun Machine,,"Can be linked to Allstar, Echolink and others by a Sysop",,Full-time to the  The Fun Machine System .,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,15.3,SE,,224.72,223.12,103.5,El Paso,,w0mog,,,,103.5,On-Air,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
