Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsRxCode,DtcsPolarity,Mode,TStep,Comment
0,"5EMsocorro,socorro peak",145.175,-,0.6,TSQL,141.3,141.3,23,23,NN,FM,5,"NM Socorro Socorro, Socorro Peak NM5EM 145.175 OPEN On-Air"
1,"5MLsocorro,socorro peak",147.24,+,0.6,Cross,100,88.5,23,23,NN,FM,5,"NM Socorro Socorro, Socorro Peak NM5ML 147.24 OPEN On-Air"
2,"AQAsocorro,m mountain",146.68,-,0.6,Cross,100,123,23,23,NN,FM,5,"NM Socorro Socorro, M Mountain W5AQA 146.68 OPEN On-Air"
3,"AQAsocorro,m mountain",444.5,+,5,,88.5,88.5,23,23,NN,DIG,5,"NM Socorro Socorro, M Mountain W5AQA 444.5 OPEN On-Air"
4,"QHSsocorro,west peak",444.75,+,5,Cross,100,88.5,23,23,NN,FM,5,"NM Socorro Socorro, West Peak WB5QHS 444.75 CLOSED On-Air"
5,"OROsocorro,west peak",442.125,+,5,TSQL,123,123,23,23,NN,FM,5,"NM Socorro Socorro, West Peak KC5ORO 442.125 OPEN On-Air"
6,"QHStor c, caballo pk",448.975,-,5,Tone,114.8,114.8,23,23,NN,FM,5,"NM Sierra T or C, Caballo Pk WB5QHS 448.975 PRIVATE On-Air"
7,OURbelen,146.7,-,0.6,Tone,100,100,23,23,NN,FM,5,NM Valencia Belen KC5OUR 146.7 OPEN On-Air
8,NESmountainair,444.075,+,5,Tone,100,100,23,23,NN,FM,5,NM Torrance Mountainair W5NES 444.075 OPEN On-Air
9,CULloslunas,442.225,+,5.1,,88.5,88.5,23,23,NN,FM,5,NM Valencia Los Lunas N5CUL 442.225 OPEN Off-Air
10,TSVloslunas,444.125,+,5,Tone,100,100,23,23,NN,FM,5,NM Valencia Los Lunas WA5TSV 444.125 OPEN On-Air
11,"URDbelen,capilla peak",444.525,+,5,,88.5,88.5,23,23,NN,DIG,5,"NM Torrance Belen, Capilla Peak K5URD 444.525 OPEN On-Air"
12,"URRbelen,capilla peak",146.96,-,0.6,Cross,100,88.5,23,23,NN,FM,5,"NM Torrance Belen, Capilla Peak K5URR 146.96 OPEN On-Air"
13,"5EMdatil,madre mtn.",147.32,+,0.6,Tone,141.3,141.3,23,23,NN,FM,5,"NM Catron Datil, Madre Mtn. NM5EM 147.32 OPEN On-Air"
14,VJYalbuquerque,223.82,-,1.6,,88.5,88.5,23,23,NN,FM,5,NM Bernalillo Albuquerque WA5VJY 223.82 OPEN Off-Air
15,"5MRwhitesands mountain range, salinas peak",29.68,-,0.1,Cross,100,88.5,23,23,NN,FM,5,"NM Sierra White Sands Mountain Range, Salinas Peak WS5MR 29.68 OPEN On-Air"
16,"5MLdatil,luera peak",147.14,+,0.6,Tone,100,100,23,23,NN,FM,5,"NM Catron Datil, Luera Peak NM5ML 147.14 OPEN On-Air"
17,B1Qisletapueblo,147.04,+,0.6,Tone,100,100,23,23,NN,FM,5,NM Bernalillo Isleta Pueblo AB1Q 147.04 OPEN Off-Air
18,"B1Qalbuquerque,isleta pueblo",442.15,+,5,Tone,100,100,23,23,NN,FM,5,"NM Bernalillo Albuquerque, Isleta Pueblo AB1Q 442.15 OPEN Off-Air"
19,"5MLdatil,davenport lookout",147.04,+,0.6,Tone,100,100,23,23,NN,FM,5,"NM Catron Datil, Davenport Lookout NM5ML 147.04 OPEN On-Air"
20,"5EMcorona,gallinas peak",145.515,-,0.6,Tone,141.3,141.3,23,23,NN,FM,5,"NM Lincoln Corona, Gallinas Peak NM5EM 145.515 OPEN On-Air"
21,"5MLcorona,gallinas peak",147.28,+,0.6,Tone,100,100,23,23,NN,FM,5,"NM Lincoln Corona, Gallinas Peak NM5ML 147.28 OPEN On-Air"
22,"EARcaballo(truth or consequences), caballo lake",145.47,-,0.6,Tone,141.3,141.3,23,23,NN,FM,5,"NM Sierra Caballo (Truth Or Consequences), Caballo Lake K7EAR 145.47 OPEN On-Air"
23,"5EMcaballo(truth or consequences), caballo peak",145.13,-,0.6,Tone,141.3,141.3,23,23,NN,FM,5,"NM Sierra Caballo (Truth Or Consequences), Caballo Peak NM5EM 145.13 OPEN On-Air"
24,"QHStor c, caballo pk",448.175,-,5,Tone,100,100,23,23,NN,FM,5,"NM Sierra T or C, Caballo Pk WB5QHS 448.175 PRIVATE On-Air"
25,"M5Ctor c, caballo lake",448.5,-,5,TSQL,100,100,23,23,NN,FM,5,"NM Sierra T or C, Caballo Lake NM5C 448.5 OPEN On-Air"
26,"VPZmcintosh,mcintosh post office west",447.275,-,5,TSQL,71.9,71.9,23,23,NN,FM,5,"NM Torrance McIntosh, McIntosh Post office west KB5VPZ 447.275 OPEN On-Air"
27,IHLalbuquerque,442.25,+,5,,88.5,88.5,23,23,NN,DIG,5,NM Bernalillo Albuquerque WA5IHL 442.25 OPEN On-Air
28,"BIQalbuquerque,west mesa",442.05,+,5,TSQL,100,100,23,23,NN,FM,5,"NM Bernalillo Albuquerque, West Mesa K5BIQ 442.05 OPEN On-Air"
29,"CQHtijeras,raven road",146.72,-,0.6,Cross,100,127.3,23,23,NN,FM,5,"NM Bernalillo Tijeras, Raven Road K5CQH 146.72 OPEN On-Air"
30,"CQHtijeras,raven road",224,-,1.6,Tone,100,100,23,23,NN,FM,5,"NM Bernalillo Tijeras, Raven Road K5CQH 224 OPEN Off-Air"
31,"FIQalbuquerque,op ctr",146.9,-,0.6,Tone,67,67,23,23,NN,FM,5,"NM Bernalillo Albuquerque, Op Ctr K5FIQ 146.9 OPEN On-Air"
32,"FIQalbuquerque, op ctr",449.55,-,5,Tone,71.9,71.9,23,23,NN,FM,5,"NM Bernalillo Albuquerque,  Op Ctr K5FIQ 449.55 OPEN On-Air"
33,"FIQalbuquerque, op ctr",449.8,-,5,Tone,67,67,23,23,NN,FM,5,"NM Bernalillo Albuquerque,  Op Ctr K5FIQ 449.8 OPEN On-Air"
34,"URRalbuquerque,op center",449.45,-,5,,88.5,88.5,23,23,NN,DIG,5,"NM Bernalillo Albuquerque, Op Center W5URR 449.45 OPEN On-Air"
35,ERCalbuquerque,146.92,-,0.6,Tone,67,67,23,23,NN,FM,5,NM Bernalillo Albuquerque KF5ERC 146.92 OPEN Off-Air
36,"FIQalbuquerque,northern sandia mountain top",442.45,+,5,TSQL,67,67,23,23,NN,FM,5,"NM Bernalillo Albuquerque, Northern Sandia Mountain Top K5FIQ 442.45 OPEN On-Air"
37,5XEalbuquerque,443.5,-,5,Tone,123,123,23,23,NN,FM,5,NM Bernalillo Albuquerque KE5XE 443.5 OPEN 
