Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Links,EchoLink,IRLP,Coordination,Last update,Downlink Tone,Commands,Web links,On-air,Features,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,YSF Digital Enabled,DG-ID,Affiliate,Notes,WIRES-X,Mixed-Mode,Grid,AllStar,Nets,Talkgroups,Colorado,Denver Regional,Feed,Southern Colorado,Worldwide,North America,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,Location Photo,Talkgroup Network,Northern Colorado,English,TAC 310,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,Kansas,Local or Reflector,CKRG,KansasLink,Bandwidth,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Amarillo WIRES-X,Local Network,NORCAL 1,NORCAL 5150,UA English 1,UA English 2,CAL 1,Southwest USA,Hytera USA,Parrott,Audio Test,BYRG,N. Colorado,Mountain Reg USA,Worldwide English
449.5,-5,123,KC0HH,Lamar,CO,OPEN,EI,0,ESE,,449.5,444.5,123,Prowers,On-Air,45,Lamar ARC,"Full-time to  
        146.61000 (KC0HH) at Lamar, CO .",37784,3774,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,KC0HH,Lamar,CO,OPEN,EI,0,W,,146.61,146.01,123,Prowers,On-Air,Hwy 287 - Springfield to Eads Hwy 50 - Holly to Rocky Ford. 45 mi radius.,Lamar Amateur Radio Club,"Full-time to  
        449.50000 (KC0HH) at Lamar, CO .",37784,3774,CCARC,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,118.8,KZ0DEM,Springfield,CO,OPEN,EI,46.9,S,,449.2,444.2,118.8,Baca,On-Air,provides coverage to central Baca County,Baca County Div of Emerg Mgt Communications,,97142,7142,,,118.8,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,EI,46.9,S,,147.33,147.93,118.8,Baca,Off-Air,,Baca County Amateur Emergency Management,,97142,7142,CCARC,,118.8,,KZ0DEM Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.09,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,,46.9,S,,147.09,147.69,118.8,Baca,,,BCDEARC,,,,CCARC,,118.8,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,141.3,K0ECT,Syracuse,KS,OPEN,,47.1,ESE,,444,449,141.3,Hamilton,On-Air,,SKECT,Full-time to the  SKECT System .,,,Kansas Repeater Council,,141.3,,http://skect.org/default.aspx,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,,KA0TAO,Syracuse,KS,OPEN,,47.8,ESE,,146.775,146.175,,Hamilton,On-Air,Local. 20 mi radius.,KA0TAO,,,,Kansas Repeater Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC0,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,,49.8,W,,446.75,441.75,,Otero,On-Air,La Junta,,,,,,,,,,,E-power.,,KC0ITF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,0,,,Open ↑ / Open ↓,KC0ITF,Please use Busy Channel LockOut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,W,49.8,W,,147.36,147.96,,Otero,On-Air,La Junta: U.S. Route 50 CO State Hwy 10 CO State Hwy 109 CO State Hwy 194 U.S. Route 350,,,,,,,123,,,,E-power,,,,,,,,Open ↑ / Open ↓,KC0ITF,Digital Wires-X,11360,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,KZ0DEM,"Pritchett,  Tator Butte",CO,OPEN,,51.2,SSW,,146.64,146.04,100,Las Animas,Off-Air,Wide area: West BACA and East Las Animas counties.,,,,,CCARC,,100,,KZ0DEM Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
