Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,YSF Digital Enabled,DG-ID,County,Op Status,Coverage,Affiliate,Features,Notes,Last update,Uplink Tone,Downlink Tone,WIRES-X,Mixed-Mode,Sponsor,Links,EchoLink,IRLP,Coordination,Web links,On-air,Commands,Grid,AllStar,Nets,Feed,Talkgroups,Colorado,Southern Colorado,Denver Regional,Worldwide,North America,Local/Cluster,Location Photo,P25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Northern Colorado,English,TAC 310,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,N. Colorado,Mountain Reg USA,Worldwide English,Amarillo WIRES-X,NORCAL 1,NORCAL 5150,Local or Reflector,UA English 1,UA English 2,CAL 1,Southwest USA,Hytera USA,Parrott,Audio Test,Kansas,Bandwidth,CKRG,KansasLink
446.75,-5,CC0,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,,17.3,WSW,,446.75,441.75,,KC0ITF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,0,,,Open ↑ / Open ↓,Otero,On-Air,La Junta,KC0ITF,E-power.,Please use Busy Channel LockOut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,W,17.3,WSW,,147.36,147.96,,,,,,,,Open ↑ / Open ↓,Otero,On-Air,La Junta: U.S. Route 50 CO State Hwy 10 CO State Hwy 109 CO State Hwy 194 U.S. Route 350,KC0ITF,E-power,Digital Wires-X,,,123,11360,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,123,KC0HH,Lamar,CO,OPEN,EI,32.8,ESE,,449.5,444.5,,,,,,,,,Prowers,On-Air,45,,,,,123,,,,Lamar ARC,"Full-time to  
        146.61000 (KC0HH) at Lamar, CO .",37784,3774,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,KC0HH,Lamar,CO,OPEN,EI,32.8,ESE,,146.61,146.01,,,,,,,,,Prowers,On-Air,Hwy 287 - Springfield to Eads Hwy 50 - Holly to Rocky Ford. 45 mi radius.,,,,,123,123,,,Lamar Amateur Radio Club,"Full-time to  
        449.50000 (KC0HH) at Lamar, CO .",37784,3774,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,KZ0DEM,"Pritchett,  Tator Butte",CO,OPEN,,52.1,SSE,,146.64,146.04,,,,,,,,,Las Animas,Off-Air,Wide area: West BACA and East Las Animas counties.,,,,,100,100,,,,,,,CCARC,KZ0DEM Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.09,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,,56.4,SE,,147.09,147.69,,,,,,,,,Baca,,,,,,,118.8,118.8,,,BCDEARC,,,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,118.8,KZ0DEM,Springfield,CO,OPEN,EI,56.4,SE,,449.2,444.2,,,,,,,,,Baca,On-Air,provides coverage to central Baca County,,,,,118.8,118.8,,,Baca County Div of Emerg Mgt Communications,,97142,7142,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,EI,56.4,SE,,147.33,147.93,,,,,,,,,Baca,Off-Air,,,,,,118.8,118.8,,,Baca County Amateur Emergency Management,,97142,7142,CCARC,KZ0DEM Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,60.1,NNW,,449.9,444.9,,,,,,,,,Lincoln,On-Air,,BSAR,,,,107.2,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,68.9,W,,449.975,444.975,,,,,,,,,Pueblo,On-Air,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",,2,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,,100,100,,,K0JSC,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",363976,7301,CCARC,K0JSC dot Com,,,DM78SA18,28368,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
