Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Affiliate,Links,EchoLink,IRLP,AllStar,Web links,Coordination,Last update,Features,Coverage,Notes,D-STAR Enabled,Node,Sources,YSF Digital Enabled,DG-ID,Mixed-Mode,Grid,Nets,Feed,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Location Photo,Commands,P25 Digital Enabled,NAC,Default Reflector,Worldwide,North America,Local/Cluster,On-air,WIRES-X,Denver Regional,Talkgroup Network,Northern Colorado,English,Europe,TAC 310,DCI Bridge,Southwest USA,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,Texas,COMM 1,Texas/Oklahoma Regional USA,NORCAL 1,NORCAL 5150,Local or Reflector,UA English 1,UA English 2,CAL 1,Hytera USA,Parrott,Audio Test
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,24,E,,449.75,444.75,100,100,Las Animas,On-Air,N0ZSN,The Fun Machine,Full-time to the  The Fun Machine System .,363976,7301,28368,The Fun Machine,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,31.1,NE,,145.355,144.755,100,,Huerfano,On-Air,N0JPX,,,,3974,,,CCARC,,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,123,KF5PFO,"Red River, Valle Vidal",NM,OPEN,,31.1,SSE,,145.25,144.65,123,,Taos,On-Air,Taos ARC,,,,,,Taos Amateur Radio Club,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.39,-0.6,100,KF5PFO,"Red River, Molycorp",NM,OPEN,,35.4,S,,145.39,144.79,100,,Taos,On-Air,Taos ARC,,,,,,Taos Amateur Radio Club,NMFCC,,"E-power, linked.",Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras,  San Antonio Mountain",NM,OPEN,,40.4,SW,,146.76,146.16,67,,Rio Arriba,On-Air,Taos ARC,,,,,,,,,11,"Most of Taos County, eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,NM5ML,"Tres Piedras, San Antonio Mountain",NM,OPEN,,40.4,SW,,147.22,147.82,100,,Rio Arriba,On-Air,New Mexico Mega Link Assoc,,Full-time to the  Mega-Link System .,,,,,NMFCC,,10,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,67,NM5ML,"Taos, Ski Valley",NM,OPEN,,41.7,S,,147.14,147.74,67,,Taos,On-Air,,TaosARC,Full-time to the  Mega-Link System .,,,,http://www.taosarc.com/,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.35,5,100,NM5ML,"Eagle Nest, Iron Mountain",NM,OPEN,,42.6,SSE,,444.35,449.35,100,,Colfax,On-Air,,,Full-time to the  Mega-Link System .,,,,,NMFCC,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.975,5,123,N5TSV,"Taos, Wheeler Peak",NM,OPEN,,44.5,S,,444.975,449.975,123,,Taos,On-Air,N5TSV,,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Eagle Nest, Touch Me Not",NM,OPEN,,44.8,SSE,,147.04,147.64,141.3,,Colfax,On-Air,NMEMA ARC,,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Trinidad, Raton Pass",CO,OPEN,,47.1,ESE,,446.775,441.775,,,Las Animas,On-Air,Cheyenne Mountain Repeater Group (CMRG),,,,,,,CCARC,,,,,,KD0RDI (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Tres Piedras, San Antonio Mtn.",NM,OPEN,,48.6,SW,,145.175,144.575,141.3,,Taos,Off-Air,NMEMA ARC,,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
