Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,EchoLink,IRLP,Web links,Coordination,Last update,Coverage,Commands,On-air,Links,YSF Digital Enabled,DG-ID,WIRES-X,Affiliate,Features,Mixed-Mode,Notes,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,AllStar,Nets,Grid,Feed,Talkgroup Network,Talkgroups,Worldwide,North America,English,TAC 310,DCI Bridge,Texas,COMM 1,Local/Cluster,Texas/Oklahoma Regional USA,Colorado,Southern Colorado,Denver Regional,Amarillo WIRES-X,NORCAL 1,NORCAL 5150,Local or Reflector,UA English 1,UA English 2,CAL 1,Southwest USA,Hytera USA,Parrott,Audio Test,Location Photo,P25 Digital Enabled,NAC,Default Reflector,Northern Colorado,Kansas,CKRG,KansasLink,Bandwidth,BYRG,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network
147.33,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,EI,0,ESE,yes,147.33,147.93,118.8,118.8,Baca,Off-Air,Baca County Amateur Emergency Management,97142,7142,KZ0DEM Repeaters,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,118.8,KZ0DEM,Springfield,CO,OPEN,EI,0,ESE,yes,449.2,444.2,118.8,118.8,Baca,On-Air,Baca County Div of Emerg Mgt Communications,97142,7142,,,yes,provides coverage to central Baca County,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.09,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,,0,ESE,yes,147.09,147.69,118.8,118.8,Baca,,BCDEARC,,,,CCARC,yes,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,KZ0DEM,"Pritchett,  Tator Butte",CO,OPEN,,13.7,W,yes,146.64,146.04,100,100,Las Animas,Off-Air,,,,KZ0DEM Repeaters,CCARC,yes,Wide area: West BACA and East Las Animas counties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,123,KC0HH,Lamar,CO,OPEN,EI,46.9,N,yes,449.5,444.5,123,,Prowers,On-Air,Lamar ARC,37784,3774,,CCARC,yes,45,,,"Full-time to  
        146.61000 (KC0HH) at Lamar, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,KC0HH,Lamar,CO,OPEN,EI,46.9,N,yes,146.61,146.01,123,123,Prowers,On-Air,Lamar Amateur Radio Club,37784,3774,,CCARC,yes,Hwy 287 - Springfield to Eads Hwy 50 - Holly to Rocky Ford. 45 mi radius.,,,"Full-time to  
        449.50000 (KC0HH) at Lamar, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.35,0.6,88.5,,Boise City,OK,OPEN,,47.2,S,yes,147.35,147.95,88.5,88.5,Cimarron,On-Air,CAPROCK / DUST BOWL INTERTIE,,,,,yes,"Provides linked coverage to SW KS, OK Panhandle, and the TEXAS panhandle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,,KA0TAO,Syracuse,KS,OPEN,,61.5,NE,yes,146.775,146.175,,,Hamilton,On-Air,KA0TAO,,,,Kansas Repeater Council,yes,Local. 20 mi radius.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,W,64.6,NW,yes,147.36,147.96,,123,Otero,On-Air,,,,,,yes,La Junta: U.S. Route 50 CO State Hwy 10 CO State Hwy 109 CO State Hwy 194 U.S. Route 350,,,,yes,Open ↑ / Open ↓,11360,KC0ITF,E-power,Yes; analog capable.,Digital Wires-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC0,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,,64.6,NW,yes,446.75,441.75,,,Otero,On-Air,,,,,,yes,La Junta,,,,yes,Open ↑ / Open ↓,,KC0ITF,E-power.,,Please use Busy Channel LockOut,yes,KC0ITF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
