Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Links,Last update,Coverage,Features,Nets,Web links,Notes,Coordination,Affiliate,Feed,On-air,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Northern Colorado,Southern Colorado,YSF Digital Enabled,DG-ID,Mixed-Mode,EchoLink,Local Network,IRLP,Talkgroup Network,Denver Regional,Worldwide,North America,Local/Cluster,Commands,AllStar,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Grid,Worldwide English,DCI Bridge,N. Colorado,D-STAR Enabled,Node,Sources,English,TAC 310,Wyoming,WyLOCAL,P25 Digital Enabled,NAC,Default Reflector,Mountain Reg USA,WIRES-X,Location Photo
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,0,W,yes,147.165,147.765,88.5,123,Routt,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,0,W,yes,449.625,444.625,123,123,Routt,On-Air,"Colorado Connection Repeaters, Inc.",,yes,Local Steamboat Area,Statewide Linked System,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",http://colcon.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,26.2,E,yes,145.16,144.56,88.5,123,Jackson,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,yes,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",8,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Part of the Colorado Connection system of repeaters.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,37.6,W,yes,146.97,146.37,88.5,123,Moffat,On-Air,Northwest Colorado Amateur Radio Association,Full-time to the  Colorado Connection System .,yes,,,,,,CCARC,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,37.6,SE,yes,147.075,147.675,88.5,123,Grand,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,yes,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Part of the Colorado Connection system of Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,60.6,SSE,yes,147.345,147.945,88.5,123,Eagle,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,yes,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,9,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,69.9,SE,yes,147.285,147.885,88.5,123,Grand,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,yes,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,78.7,SSW,yes,146.85,146.25,88.5,123,Garfield,On-Air,Colorado Connection,,yes,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",70,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,Part of the Colorado Connection System of Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,84.9,SE,yes,145.31,144.71,88.5,123,Gilpin,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,yes,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",10,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,85.2,SSE,yes,147.39,147.99,88.5,123,Summit,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,yes,Wide area.,12,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",Breckenridge Repeater,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,89.9,SSE,yes,145.445,144.845,88.5,,Lake,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,yes,,E-power (solar).,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
