Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,W0DK,146.61000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Boulder"
2,K0DK,146.73000,-,0.60000,Tone,91.5,91.5,023,NN,FM,5,"Boulder"
3,N0SZ,447.75000,-,5.00000,Tone,141.3,141.3,023,NN,FM,5,"Boulder, Lee Hill"
4,K0DK,449.40000,-,5.00000,Tone,91.5,88.5,023,NN,FM,5,"Boulder"
5,KB0SRJ,145.26500,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Colorado Springs"
6,KF0WF,447.02500,-,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Colorado Springs"
7,KB0SRJ,448.80000,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Colorado Springs, UCCS"
8,W0CRA,224.98000,-,1.60000,Tone,107.2,107.2,023,NN,FM,5,"Conifer, Conifer Mountain"
9,W0KIZ,448.55000,-,5.00000,Tone,82.5,88.5,023,NN,FM,5,"Denver"
10,W0CRA,1287.90000,-,20.00000,,88.5,88.5,023,NN,FM,5,"Conifer, Conifer Mountain"
11,W0CRA,53.05000,-,1.0,Tone,107.2,107.2,023,NN,FM,5,"Conifer, Conifer Mountain"
12,W0CRA,447.15000,-,5.00000,Tone,107.2,107.2,023,NN,FM,5,"Conifer, Conifer Mountain"
13,KN6VV,224.32000,-,1.60000,Tone,100.0,100.0,023,NN,FM,5,"Loveland"
14,W0LSD,146.74500,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Nathrop"
15,ND0Q,224.26000,-,1.60000,Tone,88.5,88.5,023,NN,FM,5,"Pueblo, Baculite Mesa"
16,WA0JTB,145.29500,-,0.60000,,88.5,88.5,023,NN,FM,5,"Sterling, CO"
17,N0AFO,449.90000,-,5.00000,Tone,107.2,107.2,023,NN,FM,5,"Vail"
18,W0UPS,224.52000,-,1.60000,Tone,100.0,100.0,023,NN,FM,5,"Fort Collins, Horsetooth Mountain"
19,KB7SWR,448.15000,-,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Cheyenne"
20,N0ZUQ,927.87500,-,25.00000,DTCS,88.5,88.5,114,NN,FM,5,"Fort Collins, Christ Mountain"
21,N0SZ,145.17500,-,0.60000,DTCS,88.5,88.5,073,NN,FM,5,"Evergreen, Lower Squaw Mountain"
22,N0ZSN,147.24000,+,0.60000,Tone,156.7,156.7,023,NN,FM,5,"Leadville, Quail Mountain"
23,WB0TPT,447.90000,-,5.00000,,88.5,88.5,023,NN,FM,5,"Denver"
24,WZ0N,448.57500,-,5.00000,Tone,103.5,103.5,023,NN,FM,5,"Hartsel"
25,K0PWO,449.42500,-,5.00000,DTCS,88.5,88.5,023,NN,FM,5,"Centennial"
26,N0SZ,445.06250,-,5.00000,,88.5,88.5,023,NN,FM,5,"Colorado Springs, Cheyenne Mountain"
27,AB0BX,447.22500,-,5.00000,Tone,141.3,141.3,023,NN,FM,5,"Highlands Ranch, STEM School"
28,KB0VJJ,145.40000,-,0.60000,Tone,88.5,123.0,023,NN,FM,5,"Akron"
29,KB0UDD,145.40000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Aurora, Smoky Hill"
30,AB0PC,146.89500,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Bailey, Dick Mountain"
31,W0CRA,145.46000,-,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Boulder, Eldorado Mountain"
32,W0DK,448.90000,-,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Boulder, Table Mesa"
33,W0IA,449.55000,-,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Boulder"
34,W0DK,146.70000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Boulder, Table Mountain"
35,W0IA,146.76000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Boulder, Gunbarrel Hill"
36,W0IA,224.02000,-,1.60000,,88.5,88.5,023,NN,FM,5,"Boulder, Lee Hill"
37,W0CRA,447.97500,-,5.00000,Tone,107.2,107.2,023,NN,FM,5,"Boulder, Eldorado Mountain"
38,WB0QMR,146.70000,-,0.60000,Tone,107.2,88.5,023,NN,FM,5,"Breckenridge"
39,KB0VJJ,147.39000,+,0.60000,Tone,88.5,123.0,023,NN,FM,5,"Breckenridge, Bald Mountain"
40,W0LMA,448.92500,-,5.00000,Tone,131.8,88.5,023,NN,FM,5,"Broomfield"
41,WB0WDF,53.03000,-,1.0,Tone,88.5,88.5,023,NN,FM,5,"Canon City, Fremont Peak"
42,WD0EKR,145.49000,-,0.60000,Tone,103.5,103.5,023,NN,FM,5,"Canon City, Fremont Peak"
43,WD0EKR,223.96000,-,1.60000,Tone,103.5,103.5,023,NN,FM,5,"Canon City, Fremont Peak"
44,WD0EKR,447.75000,-,5.00000,Tone,103.5,103.5,023,NN,FM,5,"Canon City, Fremont Peak"
45,WB0WDF,449.00000,-,5.00000,Tone,67.0,67.0,023,NN,FM,5,"Canon City, eightmile Mountain"
46,KB0VJJ,145.13000,-,0.60000,Tone,88.5,123.0,023,NN,FM,5,"Colorado Springs, Cheyenne Mountain"
47,W0CRA,145.16000,-,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Colorado Springs, Cheyenne Mountain"
48,KC0CVU,146.76000,-,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Colorado Springs, Cheyenne Mountain"
49,W0RSH,146.85000,-,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Colorado Springs"
50,K0IRP,146.91000,-,0.60000,Tone,151.4,151.4,023,NN,FM,5,"Colorado Springs"
51,KB0SRJ,146.97000,-,0.60000,Tone,100.0,123.0,023,NN,FM,5,"Colorado Springs, Pikes Peak"
52,,147.27000,+,0.60000,,88.5,88.5,023,NN,FM,5,"Colorado Springs"
53,KC0CVU,147.34500,+,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Colorado Springs, Cheyenne Mountain"
54,W0MOG,147.39000,+,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Colorado Springs"
55,K0IRP,447.35000,-,5.00000,Tone,151.4,88.5,023,NN,FM,5,"Colorado Springs"
56,KC0CVU,448.10000,-,5.00000,Tone,107.2,107.2,023,NN,FM,5,"Colorado Springs, Cheyenne Mountain"
57,KB0SRJ,448.45000,-,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Colorado Springs, Pikes Peak"
58,KA0TTF,448.72500,-,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Colorado Springs, Fillmore Hill"
59,WA6IFI,927.72500,-,25.00000,DTCS,88.5,88.5,114,NN,FM,5,"Colorado Springs, Almagre Mountain"
60,N0ARA,147.12000,+,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Critchell, Critchell Mountain"
61,N0OWY,447.50000,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Conifer, Critchell Mountain"
62,WB0WDF,145.46000,-,0.60000,Tone,67.0,88.5,023,NN,FM,5,"Cripple Creek"
63,NX0G,147.01500,+,0.60000,Tone,107.2,88.5,023,NN,FM,5,"Cripple Creek"
64,WB0WDF,447.40000,-,5.00000,Tone,67.0,88.5,023,NN,FM,5,"Cripple Creek"
65,WT0C,145.22000,-,0.60000,Tone,103.5,103.5,023,NN,FM,5,"Golden, Guy Hill"
66,KB0VJJ,145.31000,-,0.60000,Tone,88.5,123.0,023,NN,FM,5,"Boulder, Thorodin Mountain"
67,KE4GUQ,145.34000,-,0.60000,Tone,103.5,127.3,023,NN,FM,5,"Evergreen"
68,KE0SJ,145.47500,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Boulder, Blue Mountain"
69,W0TX,145.49000,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Idaho Springs, Centennial Cone"
70,WB0TUB,146.64000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Golden, Centennial Cone"
71,KB0UDD,146.67000,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Idaho Springs, Squaw Mountain"
72,N0JXN,146.71500,-,0.60000,Tone,123.0,123.0,023,NN,FM,5,"Denver"
73,WB0TUB,146.88000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Centennial, Warren Mountain"
74,W0WYX,146.94000,-,0.60000,Tone,103.5,103.5,023,NN,FM,5,"Idaho Springs, Squaw Mountain"
75,K0FEZ,146.98500,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Golden, Centennial Cone"
76,W0CRA,147.22500,+,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Larkspur, Westcreek"
77,N0PYY,147.30000,+,0.60000,Tone,103.5,103.5,023,NN,FM,5,"Evergreen, Squaw Mountain"
78,W0TX,147.33000,+,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Lakewood, Green Mountain"
79,N0MHU,224.00000,-,1.60000,Tone,103.5,103.5,023,NN,FM,5,"Golden, Guy Hill"
80,N5EHP,448.07500,-,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Denver"
81,KB0UDD,448.50000,-,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Aurora, Smokey Hill"
82,W0CFI,448.67500,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Idaho Springs, Squaw Mountain"
83,WG0N,449.05000,-,5.00000,Tone,107.2,107.2,023,NN,FM,5,"Idaho Springs, Squaw Mountain"
84,N0SZ,449.22500,-,5.00000,Tone,141.3,141.3,023,NN,FM,5,"Denver, Thorodin Mountain"
85,W0TX,449.35000,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Idaho Springs, Squaw Mountain"
86,K1DUN,449.45000,-,5.00000,Tone,103.5,127.3,023,NN,FM,5,"Idaho Springs, Squaw Mountain"
87,WA6IFI,53.13000,-,1.0,Tone,107.2,107.2,023,NN,FM,5,"Colorado Springs, Cheyenne Mountain"
88,W0TX,53.09000,-,1.0,Tone,107.2,88.5,023,NN,FM,5,"Lakewood, Green Mountain"
89,W0CRA,145.14500,-,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Idaho Springs, Squaw Mountain"
90,W0TX,448.62500,-,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Golden, Centennial Cone"
91,N0FH,146.68500,-,0.60000,Tone,123.0,88.5,023,NN,FM,5,"Estes Park"
92,N0FH,449.80000,-,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Estes Park"
