Location,Name  ,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
0       ,WB0WDF,53.03    ,-     ,1     ,TSQL,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Canon City, Fremont Peak"
1       ,W0CRA ,53.05    ,-     ,1     ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,"Conifer, Conifer Mountain"
2       ,W0TX  ,53.09    ,-     ,1     ,Tone,107.2    ,88.5     ,23      ,NN          ,FM  ,5    ,"Lakewood, Green Mountain"
3       ,WA6IFI,53.13    ,-     ,1     ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,"Colorado Springs, Cheyenne Mountain"
4       ,W0UPS ,145.115  ,-     ,0.6   ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,"Fort Collins, Horsetooth Mountain"
5       ,KB0VJJ,145.13   ,-     ,0.6   ,TSQL,88.5     ,123      ,23      ,NN          ,FM  ,5    ,"Colorado Springs, Cheyenne Mountain"
6       ,W0CRA ,145.145  ,-     ,0.6   ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,"Idaho Springs, Squaw Mountain"
7       ,W0CRA ,145.16   ,-     ,0.6   ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,"Colorado Springs, Cheyenne Mountain"
8       ,KB0VJJ,145.16   ,-     ,0.6   ,TSQL,88.5     ,123      ,23      ,NN          ,FM  ,5    ,"Walden, Peterson Ridge"
9       ,N0SZ  ,145.175  ,-     ,0.6   ,DTCS,88.5     ,88.5     ,73      ,NN          ,FM  ,5    ,"Evergreen, Lower Squaw Mountain"
10      ,WT0C  ,145.22   ,-     ,0.6   ,TSQL,103.5    ,103.5    ,23      ,NN          ,FM  ,5    ,"Golden, Guy Hill"
11      ,KB7SWR,145.235  ,-     ,0.6   ,Tone,114.8    ,88.5     ,23      ,NN          ,FM  ,5    ,Cheyenne
12      ,W0CDS ,145.25   ,-     ,0.6   ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Golden, Lookout Mountain"
13      ,KB0SRJ,145.265  ,-     ,0.6   ,TSQL,100      ,100      ,23      ,NN          ,FM  ,5    ,Colorado Springs
14      ,KE0SJ ,145.28   ,-     ,0.6   ,Tone,100      ,88.5     ,23      ,NN          ,FM  ,5    ,"Golden, Centennial Cone"
15      ,WA0JTB,145.295  ,-     ,0.6   ,    ,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Sterling, CO"
16      ,KC0CVU,145.295  ,-     ,0.6   ,Tone,107.2    ,88.5     ,23      ,NN          ,FM  ,5    ,"Salida, Methodist Mountain"
17      ,KB0VJJ,145.31   ,-     ,0.6   ,TSQL,88.5     ,123      ,23      ,NN          ,FM  ,5    ,"Boulder, Thorodin Mountain"
18      ,KE4GUQ,145.34   ,-     ,0.6   ,TSQL,103.5    ,127.3    ,23      ,NN          ,FM  ,5    ,Evergreen
19      ,KB0VJJ,145.4    ,-     ,0.6   ,TSQL,88.5     ,123      ,23      ,NN          ,FM  ,5    ,Akron
20      ,KB0UDD,145.4    ,-     ,0.6   ,Tone,100      ,88.5     ,23      ,NN          ,FM  ,5    ,"Aurora, Smoky Hill"
21      ,KB0VJJ,145.445  ,-     ,0.6   ,TSQL,88.5     ,88.5     ,23      ,NN          ,FM  ,5    ,"Leadville, Mosquito Pass"
22      ,W0CRA ,145.46   ,-     ,0.6   ,TSQL,107.2    ,107.2    ,23      ,NN          ,FM  ,5    ,"Boulder, Eldorado Mountain"
23      ,WB0WDF,145.46   ,-     ,0.6   ,Tone,67       ,88.5     ,23      ,NN          ,FM  ,5    ,Cripple Creek
