Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,2m Call,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,220 Cal,223.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,70cm Ca,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,KB0VJJ,145.130000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
4,W0CRA,145.160000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
5,KB0SRJ,145.265000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
6,KC0CVU,146.760000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
7,W0RSH,146.850000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
8,K0IRP,146.910000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
9,KB0SRJ,146.970000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
10,,147.270000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,KC0CVU,147.345000,+,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
12,W0MOG,147.390000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
13,KF0WF,447.025000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
14,K0IRP,447.350000,-,5.000000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
15,NX0G,447.475000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
16,KC0CVU,448.100000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
17,KB0SRJ,448.450000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
18,W0MOG,448.600000,-,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
19,KA0TTF,448.725000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
20,KB0SRJ,448.800000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
21,WB0WDF,145.460000,-,0.600000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
22,NX0G,147.015000,+,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
23,WB0WDF,447.400000,-,5.000000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
24,W0CRA,147.225000,+,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
25,K0NR,447.725000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
26,KA0WUC,145.415000,-,0.600000,Tone,179.9,88.5,023,NN,FM,5.00,,,,,,
27,NX0G,146.820000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
28,NX0G,448.650000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
29,KA0WUC,449.025000,-,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
30,KC0CVU,448.000000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
31,WB0WDF,224.940000,-,1.600000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
32,KA0WUC,447.675000,-,5.000000,Tone,179.9,88.5,023,NN,FM,5.00,,,,,,
33,AA0L,147.135000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
34,WA6IFI,447.550000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
35,N0KG,448.250000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
36,AA0L,448.300000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
37,N0XLF,145.190000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
38,KA4EPS,449.325000,-,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
39,KD0MDP,447.625000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
40,,447.200000,-,5.000000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
41,K0JSC,449.975000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
42,W0MOG,224.720000,-,1.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
43,W0CRA,448.425000,-,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
